指数,名,地址,#标签,电话号码,网站,小时/休息日,图片,入场费,停车设施,介绍
1739,梅迪安,江原道春川市北汉江边街910-46,#江源道#春川#旅游地#片,010-9057-3547,http://merdian.pensioncenter.co.kr/,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/1/BD0016_I_01.JPG&w=454&h=242,40000~200000元,可停车免费停车,春川约70강촌교米的公交车站左转说사잇길下来的左侧是宽敞的院子和메르디앙希望了北汉江雅致的团体的停车场也有旅馆利用方便。3层建筑的白色外墙与周围环境相协调共有15个恋人的雅致客房还有团体房间因此也适合作为各种研讨会或MT场所。另外还有烧烤店足球场可以营造和谐氛围。
1740,江村巧克力薄荷,江原道春川市南山面芳谷里 83-1,#江源道#春川#旅游地#片,033-261-5454,http://www.xn--939ap51ab0mpa530a32g.kr/,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/1/BD0012_I_02.JPG&w=454&h=242,50000~270000韩元,可停车免费停车,位于大学生们向往的江村。用木头做成的旅馆有一片郁郁葱葱的树林。 以铅笔为概念像童话中的村庄。 在民宿内露台上呼吸着清新的空气并享受一杯茶的悠闲。
1741,康村星谷,江原道春川市갯골路122,#江源道#春川#旅游地#片,033-261-0637,http://www.noblestar.co.kr,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/1/BD0011_I_01.JPG&w=454&h=242,48000~350000韩元,可停车免费停车,以纯净的大自然中的蟋蟀声音为音乐可以喝一杯生啤酒。 和深爱的恋人一起度过只属于两个人的时间和珍惜自己的学校前后辈同事一起参加团体活动也毫不逊色。 作为江村最大规模的度假村型公寓具备最高级的室内外设施。
1742,江村w penction,江原道春川市江村路一四三,#江源道#春川#旅游地#片,033-261-3939,http://www.wpension.co.kr,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/1/BD0006_I_01.JPG&w=454&h=242,50000~200000元,可停车免费停车,位于充满年轻和浪漫的江村中心地带为了与心爱的恋人或朋友留下美好的回忆而装饰的美丽多样的可爱旅馆。 夜晚可以欣赏美丽的星光同时兼备各种服务和配套设施是创造特别回忆的空间。
1743,江村Harwar Dalpension,江原道春川市南山面芳谷里84,#江源道#春川#旅游地#片,033-261-5454,http://www.gcsun.net,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/1/BD0004_I_02.JPG&w=454&h=242,50000~270000韩元,可停车免费停车,享受春川清净自然的江村日瓦达芬山位于江村是按照森林小屋的主题在树林中建造的木屋。 市内的烧烤场和民宿内设有咖啡厅可以使用还有个别露台。 江村日瓦达彭森的客房分为单间复式房入住时可以选择。
1744,春川爱丽西安江村(爱丽西安江村 艾尔斯威特康多),江原道春川市南山面北汉江边路688,#江源道#春川#观光地#度假村,033-260-2000,http://www.elysian.co.kr,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/1/BB0001_I_01.JPG&w=454&h=242,102000~31.5韩元,可停车免费停车,江村度假村位于春川回忆和浪漫的江村。 春天夏天秋天是高尔夫球场和游泳馆冬天是滑雪场是可以和家人和恋人一起度过的四季综合度假村。 此外这里还拥有自行车徒步旅行的美丽自然风景非常受欢迎。
1745,春川世宗酒店,江原道春川市凤仪山街31,#江原道#春川#观光地#酒店,033-252-1191,http://www.chunchonsejong.co.kr/,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/1/BA0005_I_01.JPG&w=454&h=242,133100~193600元,可停车免费停车,春川世宗酒店创立于1956年拥有65间客房和大宴会厅婚宴厅等附属设施。 高格调的室内气氛和亲切的服务让我们心情舒畅。 酒店内设有休息室酒吧餐厅等多种便利设施。
1746,贝尼基亚酒店贝尔斯,江原道春川市体育城路376,#江原道#春川#观光地#酒店,033-256-2530,http://www.hotelbears.co.kr,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/1/BA0004_I_01.JPG&w=454&h=242,75000~120000韩元,可停车免费停车,俯瞰衣岩湖水的春川熊市是春川地区景观最好的度假酒店。 周边有昭阳江多功能大坝清平寺三岳山江村游乐园九谷瀑布中岛游乐园等观光景点还可以观赏钓鱼摩托艇高尔夫飞碟射击登山滑雪。 俯瞰衣岩湖水的春川熊市是春川地区景观最好的度假酒店。 周边有昭阳江多功能大坝清平寺三岳山江村游乐园九谷瀑布中岛游乐园等观光景点还可以观赏钓鱼摩托艇高尔夫飞碟射击登山滑雪。
1747,春川观光酒店,江原道春川市中央路六八号街,#江原道#春川#观光地#酒店,033-257-1900(5900),http://www.hotelchuncheon.com,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/1/BA0003_I_01.JPG&w=454&h=242,66000~77000韩元,50辆可停车免费停车,春川观光酒店是位于春川中心街的专业商务酒店将为国内外游客提供舒适的休息和最佳的服务。酒店内设有酒吧中餐馆等各种便利设施。
1748,昭阳江酒店,江原道春川市孔之路480,#江原道#春川#观光地#酒店,033-243-5300,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/1/BA0002_I_01.JPG&w=454&h=242,50000~120000韩元,可停车免费停车,位于充满回忆和浪漫的春川。 拥有前客室大型PDP及电脑拥有54个多客室和可以停放50辆以上车辆的宽敞停车场。春川站孔枝川明洞5分钟距离102补充带昭阳大坝南怡岛20~30分钟距离。
1749,休莫特,江原道春川市南春路五号街,#江原道#春川#观光地#汽车旅馆,033-253-4177,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0708_I_01.JPG&w=454&h=242,4000~600韩币,可停车免费停车,位于江原道春川市的humotel公司位于前景好的地方。 这里拥有整洁舒适的客房提供差别化服务。 以合理的费用可以使用干净的设施是很多来到春川市的游客使用的住宿场所。
1750,Pilmotel,江原道春川市南春路30-1,#江原道#春川#观光地#汽车旅馆,033-263-7096,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0707_I_02.JPG&w=454&h=242,40000~100000韩元,可停车免费停车,位于江原道春川市法院附近的菲尔莫特尔位于市内中心方便寻找而且无论在哪里交通都十分便利。 在汽车旅馆旁边还有便利店和在春川可以享用的美食店等小吃街非常方便。
1751,帕帕亚莫特尔,江原道春川市南春路五号街,#江原道#春川#观光地#汽车旅馆,033-255-0503,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0706_I_01.JPG&w=454&h=242,45000韩元,可停车免费停车,位于春川南春川站后面的payamotel位于南春川站长途汽车站步行5~10分钟路程是交通便利性较好的汽车旅馆。 外地来京的以家庭朋友恋人为单位的游客很多。 前面有便利店还有各种美食店。
1752,爱丽丝莫特,江原道春川市南春路二五号街,#江原道#春川#观光地#汽车旅馆,033-255-8228,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0704_I_02.JPG&w=454&h=242,45000韩元,可停车免费停车,爱丽丝汽车旅馆位于南春川站和法院之间位于市中心南春川站和长途汽车站步行5~10分钟距离交大江原大学等也位于10分钟距离交通便利。
1753,Sunstar Motel,江原道春川市南春路五号街,#江原道#春川#观光地#汽车旅馆,033-244-5100,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0703_I_01.JPG&w=454&h=242,45000韩元,可停车免费停车,位于南春川站和法院之间的Sunstar旅馆位于市中心南春川站和市外汽车站步行5~10分钟距离交大江原大学等也位于10分钟距离交通便利性较好。
1754,雪铁龙汽车旅馆,江原道春川市南春路五号街,#江原道#春川#观光地#汽车旅馆,033-242-4570,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0702_I_01.JPG&w=454&h=242,40000元,可停车免费停车,位于春川南春川站后面的喜来登汽车旅馆位于南春川站长途汽车站步行5~10分钟距离是交通便利性较好的住宿设施。 外地来京的以家庭朋友恋人为单位的游客很多。 前面有便利店还有各种美食店。
1755,Big Hill Motel,江原道春川市退溪路七七号街,#江原道#春川#观光地#汽车旅馆,033-251-6366,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0701_I_10.JPG&w=454&h=242,45000韩元,可停车免费停车,位于南春川站长途汽车站步行5分钟路程的Big Hill旅馆是尽情享受春川浪漫的住宿设施。为方便旅客的舒适休息该局全力以赴做好清洁和管理工作多种配套设施为旅客提供了便利。
1756,曼哈坦汽车旅馆,江原道春川市退溪路七七号街,#江原道#春川#观光地#汽车旅馆,033-241-0550,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0700_I_02.JPG&w=454&h=242,4000~600韩币,可停车免费停车,位于春川市退溪洞的干净安静的曼哈坦汽车旅馆与南春川站和长途汽车站法院等相邻是交通便利的住宿设施。 外观大气现代时尚的客房内设有干净舒适的内部设施供家庭恋人朋友等所有单位的顾客使用。
1757,薰衣草旅馆,江原道春川市南春路五号街,#江原道#春川#观光地#汽车旅馆,033-255-0550,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0699_I_01.JPG&w=454&h=242,35000~5000韩元,可停车免费停车,薰衣草香似浓重的紫色外观是位于南春川站后面的旅馆。 与附近的其他豪华汽车旅馆相比这款车的外观绝对不逊色。 客房也给人一种舒适和舒适的感觉是很多顾客光顾的旅馆。
1758,阿比略汽车旅馆,江原道春川市牛墨街67,#江原道#春川#观光地#汽车旅馆,033-255-8470,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0511_I_01.JPG&w=454&h=242,40000~80000韩元,可停车免费停车,位于春川市退溪洞的整洁氛围良好的父亲旅馆与南春川站和市外汽车站相邻是交通便利的住宿设施。 整洁温馨的客房内设有干净舒适的内部设施供家庭恋人朋友等所有单位的顾客使用。
1759,好时光,江原道春川市江村路106,#江原道#春川#观光地#汽车旅馆,033-261-4727,http://www.goodtime2006.com/,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0510_I_01.JPG&w=454&h=242,40000~80000韩元,可停车免费停车,位于北汉江和大大小小的山中江村的雅致的新概念汽车旅馆Good Time Pantel的特点是摆脱日常生活在享受自然情趣的同时还能享受多种休闲方式。 这里坐落于江村游乐场可以方便地品尝到各种美食和看点。
1760,IF旅馆,江原道春川市牛墨街51,#江原道#春川#观光地#汽车旅馆,033-242-2154,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0509_I_01.JPG&w=454&h=242,40000~80000韩元,可停车免费停车,位于春川市退溪洞的干净安静的IF旅馆与南春川站和长途汽车站相邻是交通便利的住宿设施。 外观大气现代时尚的客房内设有干净舒适的内部设施供家庭恋人朋友等所有单位的顾客使用。
1761,一杆进洞旅馆,江原道春川市江仓골街35,#江原道#春川#观光地#汽车旅馆,033-256-1566,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0507_I_01.JPG&w=454&h=242,35000~40000元,可停车免费停车,位于江原道春川市三千洞的一杆进洞汽车旅馆位于汽车旅馆较多的春川bears观光酒店方向的三千洞汽车旅馆胡同内。 白色的简洁端庄的外观和干净的客房等是一杆进洞旅馆的特征。 外观非常显眼到了三千洞汽车旅馆胡同就能看到。
1762,酒店故事,江原道春川市邱马尼街24,#江原道#春川#观光地#汽车旅馆,033-252-5534,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0506_I_02.JPG&w=454&h=242,40000~150000韩元,可停车免费停车,作为春川不多的无人旅馆可以使用无人客室存取款机代替前台既方便又舒适。 这里有朋友们可以聚会的宴会室和两个人可以使用的普通房间等多种客房可以根据客人的便利住宿。
1763,酒店N,江原道春川市邱马尼街26,#江原道#春川#观光地#汽车旅馆,033-243-5353,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0504_I_01.JPG&w=454&h=242,60000~80000元,可停车免费停车,位于湖畔水库附近的酒店N如果来春川游玩会推荐。 整洁明亮的大厅和有气氛的走廊每个楼层都有不同的理念让人看得津津有味。 而且最大的优点是只对预约顾客提供接送服务。 从普通室到准特别室有各种各样的客房。
1764,flower park,江原道春川市江仓골路38,#江原道#春川#观光地#汽车旅馆,033-257-3989,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0503_I_01.JPG&w=454&h=242,4000~600韩币,可停车免费停车,flowerpark motel位于春川市三川洞中道游乐园及松岩洞体育城入口是新开业的干净温馨的旅馆。 停车位(约40辆)充足周围聚集着春川小吃鸡排幕国寿明街衣岩湖就在前面在春川景观很好。
1765,古典汽车旅馆,江原道春川市中央路二七号街,#江原道#春川#观光地#汽车旅馆,033-244-4701,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0501_I_01.JPG&w=454&h=242,300000~40000元,可停车免费停车,位于春川明洞春川市厅附近的古典旅馆是具备便利性及便利性的住宿设施。 古典汽车旅馆拥有最高级的设施提供舒适温馨的氛围和干净的客房使游客没有不便之处。
1766,BALLYMOTEL,江原道春川市邱马尼街20,#江原道#春川#观光地#汽车旅馆,033-257-0711,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0496_I_01.JPG&w=454&h=242,300000~40000元,可停车免费停车,位于江原道春川市三川洞的BALLYMOTEL附近有春川熊城附近有骑马场等多种旅游地与旅游地的接触性很好。 如果想以合理的价格在安静幽静的地方休息推荐巴厘岛旅馆。 干净整洁的客房给住宿客带来舒适感。
1767,莫泰尔韦内,江原道春川市春川路四四号街,#江原道#春川#观光地#汽车旅馆,050-7962-4334,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0495_I_01.JPG&w=454&h=242,40000~90000元,可停车免费停车,在晴朗天空的韩国代表性湖畔城市春川享受各种旅游名胜后如果想要舒服的蜻蜓点水就推荐汽车旅馆。 以欧式外观和特殊结构组成的客房和低廉的价格更好。
1768,自由旅馆,江原道春川市新샘밭路745,#江原道#春川#观光地#汽车旅馆,033-242-3002,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0493_I_01.JPG&w=454&h=242,40000~700000韩元,可停车免费停车,riverside汽车旅馆位于春川最高名胜昭阳江大坝下的昭阳江边空气清新。 沿着江稍微往前走就能看到昭阳江水库和游客经常光顾的清平寺春川市的九峰山展望台。 Liverside Motel倾听客户的每一个小声音提供合理的价格和最佳的服务。
1769,大旅馆,江原道春川市中央路二七号街,#江原道#春川#观光地#汽车旅馆,033-243-5021,http://www.gdmotel.com/,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0492_I_01.JPG&w=454&h=242,40000~80000韩元,可停车免费停车,位于春川明洞的Grand旅馆是具备便利性及便利性的住宿设施。 grand motel拥有最高级的设施提供舒适温馨的氛围和干净的客房使游客没有不便之处。
1770,香薰旅馆,江原道春川市新샘밭路749,#江原道#春川#观光地#汽车旅馆,033-242-2242,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0491_I_02.JPG&w=454&h=242,40000~80000韩元,可停车免费停车,位于江原道春川市的嘉香汽车旅馆位于前景看好的地方。 这里拥有整洁舒适的客房提供差别化服务。 以合理的费用可以使用干净的设施是很多来到春川市的游客使用的住宿场所。
1771,水旅馆,江原道春川市永西路2515,#江原道#春川#观光地#汽车旅馆,033-254-1956,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/2/BE0482_I_01.JPG&w=454&h=242,40000~5000韩币,可停车免费停车,从春川孔枝川往后坪洞昭阳江少女像方向走就能看到城门汽车学院。 位于其前面的是水母机醒目的外观设计魅力四射水母机客房如外观般整洁可舒适使用。
1772,五月堂,江原道春川市西面纳实街214,#江源道#春川#旅游地#片,033-244-8123,http://www.owoldang.com/,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/8/BD10206_I_01.JPG&w=454&h=242,100000~250000元,可停车免费停车,五月堂是在美丽的自然中可以消除压力重新补充生活活力的休闲型旅馆。 五月堂拥有100多坪的2个宽敞的体育馆和露天网球场等是能够享受各种室内体育及娱乐的休闲娱乐场可以在家庭聚会各种联谊会上班族研讨会学生MT等各种聚会场所。
1773,江村宫,江原道春川市西面京春路595-26,#江源道#春川#旅游地#片,033-264-1255,http://www.gangchonpalace.com,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/8/BD10204_I_01.JPG&w=454&h=242,60000~320000元,可停车免费停车,首尔近郊的旅馆中作为欧洲风格的旅馆作为情侣旅馆和家庭旅馆而备受瞩目的江村旅馆以世界知名城市的概念在每个房间都尽情展现欧洲的感觉因此在江原道及南怡岛旅馆中享有。 在民宿房间前的露台上利用移动式烤架可以享用美味的烧烤晚餐在这里可以与家人或情侣一起用餐散发出一种优雅的气氛。 另外宿舍的外观及内部都非常漂亮干净。 为疲惫无聊的日常生活带来一丝清凉的江村温泉旅馆。 这个周末或这个假期推荐您在江村宫健康地休息一下。
1774,大提琴,江原道春川市南山面 풀무골一街,#江源道#春川#旅游地#片,033-262-0238,http://www.icello.net,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/8/BD10198_I_02.JPG&w=454&h=242,50000~350000韩元,可停车免费停车,大提琴是与其他住宿不同的特殊旅馆。 客房由家庭室朋友室金色情侣室VIP情侣室新馆社团室组成。 家庭房是集体房可以和家人一起来享受而私人房则是地板成炕。 金情侣房和VIP情侣房不是炕而是床新馆社团房分为新馆和复式。 家庭室朋友室黄金情侣室各层大厅都设有公用净水器和微波炉。 有炊事设施和电视电脑等。
1775,日出的房子,江原道春川市南山面江村路144,#江源道#春川#旅游地#片,033-262-4070,http://강촌집펜션.com,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10052_I_01.JPG&w=454&h=242,50000~5000元,不能停车,位于春川江村游园地的日出房屋围栏是一栋用红砖砌成的三层建筑一楼有鸡肋房很容易找到。 公寓为公寓式客房共20间2楼的客房是适合小规模单位的客房3楼的客房是为团体客人准备的大房间因此也适合团体访问。 而且每个客房都有炊事设施和冰箱桌子等非常方便。
1776,白色的草垫,江原道春川市南山面갯골路112-14,#江源道#春川#旅游地#片,010-5289-6852,http://www.whiteherb.co.kr,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10051_I_01.JPG&w=454&h=242,50000~220000韩元,不能停车,白色香草屋是韩国国内第一个用香草油和金枪鱼制作而成的建筑。 愉悦心情净化精神的草本精油和让我们的身体变得健康的金枪鱼的相遇带给我们仿佛随时都来到森林般的舒适和舒适。 客房有可以安静休息的独栋和复式平房。 每间客房都配有符合自己名字的精炼装修气氛非常好。
1777,天空风景展,江原道春川市南山面갯골路178,#江原道#春川#观光地#酒店,010-6713-3621,http://www.gcskyview.co.kr,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10050_I_01.JPG&w=454&h=242,60000~350000元,可停车免费停车,江村蓝天风景旅馆是位于清净江源清净处的黄土原木山庄是供很多人使用的足球场和宽敞的停车场既方便又方便既可放松心情又自然亲和。 值得一提的是登山路就在围栏旁适合喜欢登山的人。 客房既舒适又实用在地板上可以温暖地睡上一觉在床上可以舒服地睡上一觉。 民宿内设有练歌房露营场接送服务前客房可使用WiFi等可舒适地休息。
1778,圆木屋,江原道春川市南山面江村路172,#江源道#春川#旅游地#片,010-3552-5611,http://www.loghouseps.com,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10048_I_01.JPG&w=454&h=242,40000~350000韩元,不能停车,这里拥有有氛围的原木式住宿设施前面有凉爽的溪谷后面有绿色森林自然洁净林全景兼具自然的清澈。 前面凉爽的溪谷可以玩水消暑在绿色的树林和广阔的大地上消除压力。 江村森林中的圆木屋无忧无虑尽善尽美地帮助人们休息。 在这里还可以品尝到主人口袋美味的土鸡。
1779,江村아미고,江原道春川市南山面甫梅基一街,#江源道#春川#旅游地#片,010-5311-3477,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10046_I_01.JPG&w=454&h=242,35000~90000韩元,不能停车,江原道从江村아미고春川市南山面的住宿业。- 可欣赏三岳山美景由旅馆主人亲自参与建筑并使用健康建筑材料打造治愈旅馆。 客房设计温馨可爱深受众人喜爱。 江村是彻底的아미고卫生管理舒适的住宿美丽的风景和江村的户外烤肉使用新的回忆能够。
1780,CN黑色,江原道春川市南山面西柏街496-14,#江源道#春川#旅游地#片,010-7613-8879,http://www.cnblack.co.kr,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10045_I_05.JPG&w=454&h=242,40000~220000韩元,不能停车,这里也是有名的俱乐部寄宿区感觉就像是聚集了多个寄宿家庭的寄宿村。 建筑众多游泳池共用。 客房分为俱乐部主题和情侣室家庭室是双层的一楼有床可以玩耍二楼有床。 每个客房都设有wallful spa可以在全身按摩中缓解日常生活中的疲惫。
1781,山河,江原道春川市南山面江村路240,#江源道#春川#旅游地#片,010-5372-0404,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10044_I_01.JPG&w=454&h=242,300000~200000元,不能停车,山怡郎江怡郎民宿位于江原道春川市南山面离江村繁华街道稍远是一款适合感受乡村风情的民宿。 客房为独栋和分离型两居室可供选择内部整洁干净配有基本设施。 山怡和江怡郎虽然位于南山面外围但可以利用接送服务拥有宽敞的停车位便于外部移动。
1782,星星花香,江原道春川市南山面西柏街79-10,#江源道#春川#旅游地#片,010-5253-5261,,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10043_I_01.JPG&w=454&h=242,50000~100000韩元,不能停车,位于江原道春川市南山面的星星花香旅馆是一栋2层规模的旅馆1楼设有包车形式的炸鸡专卖店。 虽然客房内设有炊事设施但星星花香旅馆的特点是同时经营餐厅和旅馆因此价格合理住宿和用餐同时可行。 民宿平日40000韩元周末60000韩元。 野外设有专用烧烤场。
1783,白头山,江原道春川市南山面西柏街713,#江源道#春川#旅游地#片,010-9147-5421,http://www.backdoo.co.kr,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10041_I_01.JPG&w=454&h=242,50000~150000韩元,不能停车,白头山是安静的小山村住在四季的风景的地方。 房间大致分为小间中间大间两部分并备齐了整洁装修所需的厨具。 炊事设施整洁不用出门可以在客房内解决伙食非常方便。 客房内装有可以消暑的空调和消除无聊感的电视等可以度过不单调的休息时间。
1784,The Bishop,江原道春川市南山面西柏街496-8,#江源道#春川#旅游地#片,010-8784-0012,http://www.pensionvishop.com,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10038_I_01.JPG&w=454&h=242,35000~240000韩元,不能停车,这里也是有名的俱乐部寄宿区感觉就像是聚集了多个寄宿家庭的寄宿村。 建筑众多游泳池共用。 因为是夜店所以有可以玩夜店形式的地方。 客房有V X N 栋呈复式供家人和情侣休息。 每个客房都有单独的SPA可以安静地感受全身按摩享受SPA的乐趣而且客房内设有基本设施非常方便。
1785,江村橙色,江原道春川市南山面甫梅基一街,#江原道#春川#观光地#酒店,010-2214-7109,http://www.orange-pension.com,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10035_I_01.JPG&w=454&h=242,40000~120000韩元,可停车免费停车,江村橘色民宿的室内氛围高档视野开阔是附近最美观的民宿之一在民宿客房中看到的自然全景在白天和夜晚都留下不同的记忆直到回家为止。 客房有浪漫氛围的安静温馨的一居室和宽敞方便的复式阁楼。
1786,江村天空谷,江原道春川市南山面西柏街739,#江源道#春川#旅游地#片,010-5578-3635,www.gangchonsky.com,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10034_I_02.JPG&w=454&h=242,55000~335000韩元,可停车免费停车,江村skybelly pention是位于江原道春川市南山面的住宿业所。 以传统房屋风格整洁整洁地布置着周围庭院修整得十分美观。 江村skybelly与清澈的溪谷和山的正面相连非常适合休息和放松。 客房为涂满黄土的暖炕房适合进行高质量的休息室外烧烤场及篮球场足球场等户外设施一应俱全。
1787,浅褐色(F.105),江原道春川市南山面西柏街496-18,#江源道#春川#旅游地#片,010-8121-5959,www.fapas.co.kr,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10032_I_01.JPG&w=454&h=242,40000~220000韩元,可停车免费停车,papaspastion是位于江原道春川市南山面的住宿业所。 离加平很近距离首尔30分钟车程由复式室和宴会室组成。 独居形态呈方形周围有溪谷和山适合与大自然一起休息的家庭旅行小区内设有俱乐部和游泳馆适合想和朋友一起回忆时光的年轻人使用。
1788,火车旅行,江原道春川市南山面西川街170,#江原道#春川#观光地#酒店,010-7159-7223,http://www.trainpension.com,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10030_I_01.JPG&w=454&h=242,100000~20000元,可停车免费停车,在北汉江边风景优美的春川市南山面西川里可以欣赏到欧洲风格的建筑模样和用原木设计的客房给人留下深刻印象的火车旅行旅馆。 客房内饰采用小巧玲珑的道具和家什传达出别具一格的感觉而围栏内设有游泳池设施是享受炎炎夏日的避暑胜地。 今后在北汉江自行车旅馆乘江边散步也能像南怡岛等周边江村游园地Elysian江村的旅游胜地与邻近游客们喜爱的旅馆。
1789,费利切片,江原道春川市西面纳实街110,#江源道#春川#旅游地#片,033-244-5509,http://www.pension7.com,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10029_I_01.JPG&w=454&h=242,50000~130000韩元,可停车免费停车,费利切在意大利语中有幸福的意思。 经过全套客房专业装修设计师之手一间客房也没有同样的客房每间客房都有特色主题。 客房分为情侣间和家庭间所有客房都有床和DVD播放器。 DVD播放器可以使用USB可以观看以前没有看过的电视剧或综艺节目。 客房具备基本设施使用方便。
1790,春川巨器,江原道春川市史北面花岳芝岩街600-150,#江源道#春川#旅游地#片,033-242-6054,http://geogips.modoo.at,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10028_I_01.JPG&w=454&h=242,100000~1500000元,可停车免费停车,春川那边的民宿在民宿前面流淌着清澈的溪谷是夏天凉爽嬉水的好去处冬季还可以享受华川山川鱼庆典和钓公鱼的好去处。 客房为单间型暖房设有客厅兼厨房和卫生间适合MT办公会郊游会等团体客人使用。 基本设施和炊事设施齐全使用方便。
1791,日拍,江原道春川市史北面花岳芝岩街136,#江源道#春川#旅游地#片,010-6375-4786,http://www.ilbak.co.kr,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10027_I_01.JPG&w=454&h=242,50000~200000元,可停车免费停车,日宿民宿不是公寓型而是由各自独立的别栋建筑组成可以眺望周边的溪谷利用炭火烧烤。 尤其适合玩飞瀑和酷暑的戏水晚上开着的隐隐照明是优点。 客房为复式家庭室和单间家庭室配有炊事设施和基本设施可供使用前面是溪谷。
1792,乡村庭院娱乐,江原道春川市南山面新골街35,#江源道#春川#旅游地#片,033-263-6780,http://www.sigolmadang.net,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10025_I_01.JPG&w=454&h=242,50000~150000韩元,可停车免费停车,乡村庭院是江原道庆江可以见到的田园中的休息处是农园内的公寓式独立民宿。 为住宿的人们提供亲切的服务和待遇是值得骄傲的事情。 客房分为送温暖型暖炕室和睡得舒服的床室客房内设有基本设施和解决伙食的炊事设施可轻松使用。
1793,蓝色空间粉笔,江原道春川市南山面新골街 31-11,#江源道#春川#旅游地#片,010-9979-1141,http://www.bluegg.co.kr,,http://www.gangwon.to/servlet/Thumbnail?i=/tour/1024/7/BD10024_I_01.JPG&w=454&h=242,60000~100000韩币,可停车免费停车,蓝色空间旅馆的优点是被茂密的松树和茂密的树林包围像画一样的空间。 以环保材料红参木收尾从儿童到大人都能安心休息非常舒适。 春天树林里盛开着不知名的野花夏天绿树成荫的树林里杜鹃啼鸣围栏前流淌着清凉的溪水仿佛置身于森林之中。
