指数,名,地址,#标签,电话号码,网站,小时/休息日,图片,入场费,停车设施,介绍
1717,济州뚝,济州特别自治道西归浦市城山邑日出路255,#韩致勿回#烤玉돔#成蟹汤,064-782-1089,,,https://api.visitjeju.net/photomng/imgpath/201804/30/deaba6a0-48c5-4b53-a8cb-68ef2f5298d0.jpg,,,这是一家专门经营砂锅和海鲜料理的韩餐厅。 除了砂锅料理外还推出了30多种海鲜制酒韩食。 韩致勿会鲍鱼烤玉돔成蟹汤也是人气菜单。 将济州产的圆顶切成三小块和蔬菜一起凉爽地盛放的圆顶生鱼片只有在济州岛才能品尝到。附近的旅游胜地有城山日出峰广起海边牛岛涉智柯吉维萨林日出乐园金英甲画廊城邑民俗村等。​​
1718,济州三多面条,济州特别自治道西归浦市金正文化路59-1(西湖洞),#肉汤水#멸鱼汤水#圆枕肉#黑猪沙夫沙夫,064-739-3167,,,https://api.visitjeju.net/photomng/imgpath/201804/30/49805680-875a-4cba-9dc9-3d8b8234c9a9.jpg,,,提供紫薯的紫色面和白色面的双色面的西归浦美食店。这里有肉汤 멸鱼面拌面黑猪肉火锅和面条等套餐。
1719,济州故事,济州特别自治道济州市旧左邑杏源里 542-7,#天然化妆品#天然花#火山岩泥#体验社区,064-803-2011,,9月~5月 09:00~18:00 (花饭体验开放至17:00) 6月~8月 09:00~18:30 (花饭开放至17:00) 体验人员超过10人需预约/天然花香,https://api.visitjeju.net/photomng/imgpath/201804/30/85d41a86-5562-4c5f-ba60-446860c95e3b.png,,,咖啡屋济州故事是参观只有纯净济州岛才有的以火山岩泥和天然花朵为素材生产产品的工厂和研究所并亲自制作自己的产品的咖啡屋。​​
1720,济州中文手工啤酒,中门洞 1884-6,#啤酒#手工啤酒#披萨#香肠,070-4201-3490,,craft beer,https://api.visitjeju.net/photomng/imgpath/201804/30/ccabe8f9-53ab-426c-86dd-d823ca47496c.jpg,,,炎炎夏日人们可以品尝到雪碧的手工啤酒和本地美食......提供各种手工啤酒和本地食品为炎热的济州夏夜降温。2016年在西归浦地区首次开业的手工啤酒专卖店直接酿造适合济州夏夜的柠檬油此外还提供济州岛生产的本地啤酒和多种瓶装啤酒等服务。负责这里的厨房的Jonna利用新鲜济州地区生产的最好的本地材料在济州久佐薯条炸薯条茶鬼鱼半干鱿鱼无抗生素黑猪肉香肠等是现有食物的代表。济州岛首次设置外包装提供新鲜啤酒外包装供消费者在各种场所享用。济州中文手工啤酒(Jeju Jungmun Craft Beer)西归浦市天帝莲路266营业时间:下午5点~凌晨2点电话:070-4201-
1721,济州缝,济州特别自治道济州市翰林邑瓮浦里887,#黑猪#翅膀蛋包饭#韩食,010 4422 5802,,花.水.木 : 16:00 ~ 22:30 / 金.土. 日: 12:00-22:30,https://api.visitjeju.net/photomng/imgpath/201804/30/cb8b6ee3-db2d-4b40-becc-9d5a054e523e.jpg,,,
1722,济州韩棉街,济州特别自治道济州市朝天邑善屹里2503-9,#dombe面条#肉汤水#boom bbibibi-beom面条,064-782-3358,,每周三休息/平日最后订货15:30 / 周末刹车时间 15:00 ~ 16:30,https://api.visitjeju.net/photomng/imgpath/201804/30/6156f2f7-a971-4f18-9b39-159784ff7ce1.jpg,,,2017年新年开业的济州韩面街是销售济州乡土面料理和猪肉料理的地方。坐落在济州东北方向朝天邑仙屹里幽静的道路旁外观非常舒适。就像将韩国的遗憾贴在商店的商号上一样在这里非常珍惜韩国和济州的认同感。 用石头和木头建造与周围风景相配的房子作为基本济州大门设置的正袋作为大门将朝鲜时代汉阳面馆开业时的蓝色旗帜作为OPEN标识。把大门后在现代观点(四君子)四君子中重新诠释的小庭院。 此处虽小但幽静幽静适合用餐前后休息。院子里还买了可爱的白求和猫。进入店内餐券自动售货机首先映入眼帘。 这是一种智慧也是一种关怀就是不要用制作食物或餐具的手去触摸金钱。全部都是圆头鱼面肉汤面伏马面拌面的菜单很简单。 这里有1/2的菜单或套餐有助于经济选择。 与猪肉相配的济州啤酒等手工啤酒也是不错的选择。店堂内部雅致实惠。因为吧台座位多即使一个人来也是可以随意用餐的空间。 从过去的四方院子통창的花木们像相框흐드러져的风景。在开放式厨房里可以看到专注的厨师穿着端庄的服装做饭。 一接到订单就马上切掉的刀尖上摇摇晃晃的肉片看着就觉得好吃。将济州黑猪前腿肉(电池)习食熟成的圆顶牛肉其特点是按照济州传统方式制作。 完全没有猪杂味是粘稠和柔软香甜和清淡共存的味道。 天日盐胡椒和洋葱
1723,中文大梁,济州特别自治道西归浦市川堤渊路135,#正餐#烤玉돔#炒黑猪#生蟹汤#韩餐,064-738-6266,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/ed7d1011-9106-400f-a131-c5e862e90224.jpg,,,
1724,中文锅盖,济州特别自治道西归浦市大浦洞2530,#黑猪#黑五层#黑颈肉,064-738-8131,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/808c7bcf-9f0f-46f7-a1ed-24fcaaf2ec76.jpg,,,
1725,中文自然产산集,济州特别自治道西归浦市中文洞 2107-1,#圣蟹海带汤#횟集#蟹酱#海鲜汤,064-739-8177,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/ba9bf8f2-4318-4f6d-b8cf-bbbf4b63e0e8.jpg,,,位于中文园区内的生鱼片店吃螃蟹海带汤连自然产的生鱼片都会作为菜肴出现。从亲自盛的蟹酱到凉拌野菜海藻类小菜再吃一碗盛满螃蟹蛋的海带汤感觉心里很清爽。鲍鱼花蟹汤海鲜汤也很受欢迎如果点了生鱼片其价格也会非常丰厚因此整体上满意度很高。还可以作为可包装生鱼片的中文观光园区内的订购地区提供接送服务。
1726,陈大监12制酒,济州特别自治道济州市广平东路45,#光阳烤肉#茶突三合#黑猪#韩食,064-742-2472,,刹车时间(15:30~17:30),https://api.visitjeju.net/photomng/imgpath/201804/30/e18a1190-86a2-4bb5-94bd-ae89a770df2b.jpg,,,上午11时30分至下午3时30分市民可享用陈大鉴午餐套餐。 皇太豆腐火锅光阳烤肉调料鼻腿豆腐泡菜等12种菜肴丰盛的套餐。 招牌菜是将小 차菜和小贝包子稍微烤一下和 먹는菜芥菜明菜一起吃的茶石三合。 此外还可以订购翻车双锥灯芯济州黑猪五花肉等肉单品。 点完肉酱后只需支付一点额外金额即可食用的菜品有:鲜蛋炒饭香喷喷的锅巴陈大减墨碗陈大监陈大监陈大监苏。
1727,昌川三岔口饭店,济州特别自治道西归浦市安德面仓川里155-7,#烤玉돔#海鲜排骨#韩食,064-794-6151,,星期三休息,https://api.visitjeju.net/photomng/imgpath/201804/30/c40e6dff-3184-43f7-9c47-c3b30a8738b8.jpg,,,
1728,青岛海鲜汤,济州特别自治道济州市龙潭三洞1144,#海鲜汤#鱼糕#颠覆,064-713-8881,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/701ea8be-be94-4048-92aa-5d5355a5e5aa.jpg,,,位于济州龙头岩济州西北方向的龙潭二湖海岸路的海鲜料理餐厅是沉醉在风景中醉心地爬上锅的海鲜的大海香气中的地方。 多种种类的佳肴和副食变得更多再加上鱼饼在同一个地方可以品尝到济州岛的代表性食物因此尤其受到游客的欢迎。加入大章鱼的章鱼海鲜汤和海鲜砂锅炖带鱼烤带鱼海鲜&ampamp道新器火锅等菜单也多种多样。海鲜汤里有很多章鱼虾鲍鲍鱼香虾等多种海鲜。除此之外海鲜砂锅炖带鱼烤带鱼海鲜&刀鱼(猪)沙夫沙夫(shabshave)等菜单也很丰富。​​​
1729,春心一家3号店,济州特别自治道济州市朝天邑咸德里 1004-10,#拌面#冷面#面条#拌饭,064-782-0413,,刹车时间 15:00~16:30,https://api.visitjeju.net/photomng/imgpath/201804/30/2e650aba-dac6-4fd0-b95e-604d1c599102.jpg,,,​
1730,春姬,济州特别自治道济州市旧左邑细花里1476-5,#热狗#冰沙#猪肉料理,010-9585-5343,,每周二休息,https://api.visitjeju.net/photomng/imgpath/201804/30/073b5327-d80f-403f-8eed-f02487104c87.jpg,,,在水贵的非洲为了节约用水利用烧烤锅制作的猪肉煮的烤猪肉是主要菜单。 方便食用的料理有用济州黑猪做的香肠做成的七里热狗虾热狗在建筑物外的露台坐着吃也可以包装成外包装。周边旅游景点有世华海边平大海边世华油场海女博物馆等游客经常光顾。
1731,七亲,济州特别自治道济州市涯月邑下贵一里192-6,#黑猪#泡菜汤#白饭套餐,064-748-3366,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/1e94dca5-1505-4918-80fb-95a49550ccbe.jpg,,,
1732,卡卡杜,济州特别自治道济州市二徒二洞 1978-1,#咖啡#咖啡#绿茶冰沙#冰沙,064-721-3373,,周日休息,https://api.visitjeju.net/photomng/imgpath/201804/30/e8dcf11e-b558-4f80-8e6d-5e9ad4fd4233.jpg,,,咖啡馆有很多量丰富的绿茶冰激凌和切糕协调的冰激凌因此卡卡杜在成为咖啡胡同的小区内以冰激凌粉切糕坚果类等堆积如山。如果不喜欢红豆订购时可以提前申请而且有双人冰水和3~4人冰水可以根据人数进行订购。除了绿茶刨冰之外还有咖啡刨冰还有咖啡和各种蛋糕。因为位于市内所以很容易去咖啡厅周围有很多种类的餐厅因此也很容易解决吃饭问题。​​​​​​​​​​
1733,咖啡袋,济州特别自治道济州市涯月邑下贵二里1480,#咖啡#混凝土#饮料,010-6671-3400,,星期二 (截至周三周日18时),https://api.visitjeju.net/photomng/imgpath/201804/30/20057874-93ab-43e0-b1db-a89e80f8141a.jpg,,,沿着一周西路行驶可以见到在爱月海中游泳的海豚在河贵山坡上有一个小咖啡馆。走进里面可以看到与小物件贴在各处的书法中蕴含着老板的手迹和才能更重要的是一周一次的窗户上写着老板的新字句主导着这里的氛围。和价格低廉的饮料一起直接烤制的斯康是这里的热门菜品有时只包装斯康。一边享受美食一边看窗户就能看到一个望远镜。用这种望远镜免费为在海上观看海豚的人提供一杯美式咖啡。据说天气好的时候1点左右准时去的话可以看。​​​​​​​​​
1734,咖啡盐,济州济州市涯月邑九严里 1285-1,#盐拿铁#咖啡#拿铁#饮料,010-3669-5541,,周日银14:00开放,https://api.visitjeju.net/photomng/imgpath/201804/30/d5eff632-c325-444c-bbec-3b8f1faada3d.jpg,,,这是位于涯月海岸道路旧严浦区附近的咖啡店。 共分两幢保留了原石墙房的原貌保留了古朴的韵味。加入盐能感觉到甜味的咖啡和拿铁就是人气菜单。 在咖啡厅前面有之前负责济州盐生产的石盐田所以感觉更加特别。咖啡馆里有一只叫做Solt的大伴侣犬。 最近艺人来访更加出名。​​​​​​​​​​​
1735,咖啡馆,济州特别自治道西归浦市南元邑为美里 3166-1,#Bakery Cafe#Votanic Cafe# 咖啡# Brunch# Wimiricano,064-764-6191,,每周三定期休息的早午餐卖场营业到10点~18点,https://api.visitjeju.net/photomng/imgpath/201811/30/79a42c5c-1e7c-49d2-a34a-5b56d6c04312.JPG,,,拥有国内难得一见的美丽庭院的咖啡厅。 拥有Vertical Garden Hanging Plant Patio等空间的botainical cafe EPL。是希望与相爱的恋人家人朋友珍贵的人一起享用美味食物治愈留下愉快回忆的空间。不仅有EPL独有的饮料还有每天亲自烤制的面包和甜点还有早餐等各种菜单为了给大家带来最好的体验各领域的专家们正在努力。 与位于薇里冬柏群落地附近的我们咖啡馆一起度过这个冬天吧。
1736,咖啡豆,济州特别自治道西归浦市城山邑城山里 363-5,#咖啡厅#Geofood#艾叶面包,064-784-1005,,,https://api.visitjeju.net/photomng/imgpath/201804/30/a96cf701-e109-4ae7-acd2-51961a046d6a.jpg,,,以济州脂质(GEO)为主题的食物GEO食品。位于城山-奥若地质跑道的咖啡馆是出售吉奥食品的地方其中咖啡饼干艾草面包最为著名。​​​​
1737,咖啡粉,济州特别自治道济州市旧左邑月亭里670,#咖啡厅#马卡龙#草莓牛奶#甜点,064-782-6879,,,https://api.visitjeju.net/photomng/imgpath/201903/13/adeba7bc-e416-4ebe-905f-c1b6acb5d4ad.JPG,,,位于月亭里海边距离这里稍远人少停车场宽敞。 这里离咖啡馆和海岸很近是观赏大海的好地方。真草莓牛奶是人气菜单之一是不用色素和防腐剂糖制成的草莓牛奶。 虽然比市面上出售的草莓牛奶还甜但据说由于草莓嘎吱嘎吱地嚼碎牛奶又香又甜所以特别受女顾客的欢迎。 材料小陈市营业时间提早结束最好在访问前联系一下。​​
1738,咖啡海明威,济州特别自治道济州市翰林邑挟才里1416-1,#咖啡#咖啡#三明治,070-4666-7154,,,https://api.visitjeju.net/photomng/imgpath/201804/30/7d69392f-8172-4d1a-8269-66b335106434.jpg,,,​​​​​ ​​​
1739,咖啡馆休息吧,济州特别自治道西归浦市表善面表善里 40-71,#咖啡#咖啡#饮料#甜点,064-787-6098,,,https://api.visitjeju.net/photomng/imgpath/201804/30/e2139c6b-8086-45f4-9eec-bc6a1e0b9ff2.jpg,,,位于表善海滩海水浴场旁民俗村入口前的甜点咖啡厅。充满济州感觉的室内装饰和多样的甜点很有魅力。​​
1740,咖啡甜点,济州特别自治道济州市朝天邑咸德里 1276-1,#咖啡#面包#茶#饮料#冰沙,064-784-3399,,,https://api.visitjeju.net/photomng/imgpath/201812/20/9cdeb078-b0b7-40f9-9b7b-fc81d8eda1c1.jpg,,,在这里可以品尝到用Papua新几内亚蓝山原豆制作的咖啡和奶酪美式咖啡JutebonPremichou等标志性饮料。蛋糕和每天亲自烤制的克鲁瓦像有侧菜单可以和饮料一起享用。停车场设在商场门口。
1741,Culture,济州特别自治道济州市阿罗二洞 3003-10,#西餐#意大利面#沙拉#披萨#炒饭,064-755-2006,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/f7bb4814-a99b-4ecd-bff8-d9b74edd6a8e.jpg,,,推出多种菜单的Cultures Colture是销售意大利面沙拉披萨等的餐厅。展示的有各种种类的意大利面和色拉比萨饼牛排炒饭等赖斯柳等。因为是西餐厅兼店所以还销售多种酒类。饭后提供可漱口的茶拉米水和饮料可以吃到更牢固的食物。《Fasturey Douw》的披萨蘑菇奶油意大利面还有加入褶 트和杏仁的沙拉等都很受欢迎。由于有午餐套餐午饭时间可以以更合理的价格吃到Effitizer沙拉意大利面或赖斯种类戈尔贡佐拉披萨和甜点。由于内部宽敞几个人一起用餐也方便而且位于住宅区因此前来享受家庭外就餐的人也很多。还为婴幼儿准备了椅子即使和孩子一起来也可以吃上更方便的饭菜。有些菜单还可以包装。
1742,可可粉,济州特别自治道济州市道南路七街31(道南洞),#牛肉汤#刀切面#韩食,064-751-1118,,每周六周日,https://api.visitjeju.net/photomng/imgpath/201804/30/751271a2-f88b-4861-a113-014f439e7076.jpg,,,所有的食材都直接去凌晨市场购物只使用新鲜港国产材料。 以13年相同价格提供丰富量的可可粉所有菜单价格从3500韩元到4500韩元不等价格合理。使用丰富的和新鲜的材料。
1743,基亚斯马,济州特别自治道西归浦市南元邑为美里939-1,#咖啡#布朗齐#芝士加苏拉#饮料,070-4222-0102,,周三休息/早午餐订单截止下午5点/早午餐结束后可提供饮料及简单的侧菜单/5人以上不可入场,https://api.visitjeju.net/photomng/imgpath/201804/30/84c6bbe0-de0b-4519-855f-e562d2a8ac74.jpg,,,这是一家改造柑橘仓库的早午餐咖啡馆。 虽然看起来像是在一个大仓库里扔了几个餐桌和椅子家具但这里却是我久久不愿坐下来打发时间的地方。 布伦奇下午4点结束订购。 下午4点以后可以点饮料及简单的侧菜单。 空间狭小五人以上不能入场。 代管咨询应使用固定电话或Instagram信息。早午餐菜单有3~5种。虾仁是橄榄油大蒜甜瓜和炒过的蛋阿西约西红柿酱洋葱大蒜甜瓜甜瓜甜瓜小虾。 Spinitch Hug是填满培根的烤箱料理是孩子们喜欢的营养食品。​​
1744,金斯卡特莱特,济州特别自治道济州市二徒二洞 2032-5,#王顿气体#西式#意大利面#比萨,(+82)-726-0400,,星期一/休息日 15:00 - 17:00,https://api.visitjeju.net/photomng/imgpath/201804/30/5f620ade-f4dd-4979-b874-367c31322f9e.jpg,,,位于金斯可乐区南洞的金斯可乐餐厅可以品尝到牛洞意大利面和比萨饼这里有成人手掌大小的王猪排是著名的西餐厅。地处市区内部宽敞配有婴儿座椅和儿童菜单以家庭为单位访问较多。大厅里准备有勺子筷子刀叉等要带自己使用的餐具。寿司王炸猪排沙拉炸鸡煤气等糕点和海鲜炒乌冬卡波拿油意大利面虾仁罗热面等面食一应俱全。游客还可以品尝到古贡佐拉比萨萨拉米萨烤肉比萨等比萨种类和饮料。所有的菜单都是两人标准所以量比较大而且从下订单开始制作到出菜需要一些时间但是可以品尝到刚刚做的热腾腾的料理。剩菜时还备有包装容器和塑料可以直接进行包装。​​​​​​​​​​​​​​​​​
1745,耽罗面,济州特别自治道济州市涯月邑涯月里2482-1 1层,#拉面#拌拉面#肉拉面#饭团#炒饭,,,,https://api.visitjeju.net/photomng/imgpath/201804/30/ed264758-a01d-4422-bd71-51a807a3409b.png,,,
1746,塔洞家庭餐厅,济州特别自治道济州市三徒二洞 1261-7,#炸猪排#咖喱饭#黑猪炸猪排#蛋包蛋#炒面,064-720-8224,,星期一休息 Break Time 16:00~17:30 runch last order 15:30 dener last order 20:00,https://api.visitjeju.net/photomng/imgpath/201804/30/63911a0e-07cc-4c3d-8cbb-5bc3a9868af5.jpg,,,脸上大小的​的黑猪可以吃炸猪排的国际机场都在곳제주的小广场和塔洞游乐园的塔洞海岸路上已经好几次餐厅相关节目介绍的猪排专营店‘黄脸油炸猪排塔洞’。直接露出混凝土的内饰和卖场中间有开放式厨房可以观看到卫生制作的过程。另外它位于建筑物的2层透过玻璃窗可以看到大海。使用济州产猪肉厚实的灯芯和放心并提供直接用砂骨制作的酱汁。如果和孩子们一起去的话还会提供儿童餐盘和叉子因此以家庭为单位也可以访问。不仅有炸猪排还准备了只能在特定时间品尝到的早午餐辣味炒面蛋包饭等各种菜单。另外如果持有旁边的画廊arario museum的门票可以享受9折的优惠吃完饭后到附近的面包店和咖啡厅领取收据还可以得到额外的优惠。​
1747,塔浮萍,济州特别自治道济州市观德路一五街二六,#黑猪#韩餐#冷面#炒饭,064-721-7869,,春节中秋当天,https://api.visitjeju.net/photomng/imgpath/201804/30/820e0eb1-aabd-4670-8a1c-e5f729b632f5.jpg,,,在锅盖上烤制的黑猪味道鲜美是连着两代的美食店冷面和炒饭也很好
1748,天披萨,济州特别自治道西归浦市大静邑上摹里85,#披萨#咖啡#SPAGETTY,064-792-0033,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/8ebbaeb3-a47e-4e2c-b8e3-1ffe81115a3e.jpg,,,以50cm长方形比萨菜单著称的地方可同时享用3种味道的烤面饼位于海岸道路前可边看大海边用餐。
1749,巴黎贝甜圣山日出峰店,济州特别自治道西归浦市城山邑城山里 135-1,#面包店#面包店#饼干#面包,064-784-0456,,,https://api.visitjeju.net/photomng/imgpath/201804/30/080bd6b9-b3bf-446d-a66d-b28eb6ed639b.png,,,这是一家经营法国传统面包连锁店系统的糕点面包企业在全国拥有多家卖场。 其中城山日出峰店通过大玻璃窗可以看到雄伟的城山日出峰和右侧蓝色大海是济州最高风景区。
1750,潘阿洛哈,济州特别自治道西归浦市下孝洞994-2,#咖啡厅#汉拿峰#布朗齐,010-9964-3100,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/bad95770-dd1e-4523-a609-c437d68e4633.jpg,,,用亲自耕种的汉拿峰制作的Palm Alloha独有的特别菜单和早午餐在人气冬季同时运营体验汉拿峰的农场。
1751,皮克斯咖啡,济州特别自治道济州市阿罗2洞3009-1,#Jinzer拿铁#榛果拿铁#咖啡厅,064-902-9899,,星期二休息,https://api.visitjeju.net/photomng/imgpath/201804/30/f5b2284e-35e6-4408-9741-7e9222e95fff.jpg,,,这家咖啡馆由巴里斯塔夫妇经营位于Tamra中学附近。 丈夫修理咖啡机械所以取名皮克斯咖啡。 因此卖场内还销售咖啡机械修理器具。 使用来自欧洲的咖啡机咖啡的味道评价很好。作为标志菜单有美式咖啡利用季节水果的饮料也很受欢迎。(按季节限量版:春-蓝莓夏-桃秋-无花果冬-金猕猴桃海葵拿铁)
1752,河瓦油制酒,济州特别自治道济州市涯月邑下贵二里 1436-5,#咖啡#Ad#巧克力,064-712-4686,,星期二星期三休息,https://api.visitjeju.net/photomng/imgpath/201804/30/9d2f3b25-8f2d-42c8-86b1-e06c3bea34a9.jpg,,,小礼品店兼咖啡厅产品是利用济州岛生长的蔬菜和特产制作的。为了保持新鲜感每天只准备少量。除了你以外还有哈瓦油巧克力牛刀花生精皮克手滴滴咖啡等。柑橘汁济州岛的榨季水果烘干而成的手工牛奶巧克力夏瓦油巧克力绿茶牛奶柠檬酱等是人气菜单。用绿茶/柠檬制作的手工鱼的名字只有你一个卖的是再起的手工食品和小商品。​
1753,夏威夷虾卡车,济州特别自治道济州市老衡洞3792-5,#食物卡车#牛头虾#鹤虾#棒棒糖,064-794-6652,,每周三休息,https://api.visitjeju.net/photomng/imgpath/201804/30/e332bd36-47e7-42fe-8928-07da249323a3.jpg,,,在济州岛可以品尝到只在夏威夷才能品尝到的虾料理的夏威夷虾卡车夏威夷代表性美食店在济州也可以品尝到成为全世界游客必到路线的夏威夷虾卡车的虾料理。香喷喷的黄油和用鲜大蒜炒制的清淡鲜蒜黄油和用鲜蒜辣特制调料调制的辣辣辣辣虾米甜辣的牛排冰爽冰雪膜汤
1754,汉景清坊,济州特别自治道济州市翰京面头毛里2621-1,#海鲜面#炸猪排#生啤,064-772-5688,,每周三周日休息,https://api.visitjeju.net/photomng/imgpath/201804/30/d77d7271-b41a-4079-a115-29ca627cebe6.jpg,,,浓浓的肉汤辣辣的什锦面和口感很好的汉拿山炸猪排免费提供主菜单生啤
1755,汉拿通鸡,중정로七三号街,#炸鸡#土豆片#炸年糕,064-762-4449,,第二个星期三休息,https://api.visitjeju.net/photomng/imgpath/201804/30/59023775-cbe9-4e66-a830-4200b930a5b1.jpg,,,
1756,一条心,济州特别自治道济州市二徒二洞76-11,#近肉#烤烟煤#猪肉,064-702-5570,,,https://api.visitjeju.net/photomng/imgpath/201804/30/54225609-5d33-430c-aecd-b64be024d2c0.jpg,,,位于济州市一心医院上方的贝拉切对面的烤肉专卖店可品尝到用煤火烤制的美味。
1757,韩牛四百年解酒汤,济州特别自治道济州市新山路六,#牛肉汤#骨头汤#内脏汤#卤肉#韩食,064-752-2848,,第二周星期一,https://api.visitjeju.net/photomng/imgpath/201804/30/47f09e19-9959-424c-b404-e3849ee9f392.jpg,,,简单的菜单有牛肉汤骨头汤内脏汤此外还有卤肉和骨头汤。 在铁锅里煮的牛肉汤使用国产牛肉骨和牛肉汤骨汤用济州产猪肉和国产材料烹饪不加调料非常清淡。 醒酒汤里放满了肉粉蔬菜等客人的满意度很高。值得一去的地方有三星穴沙罗峰济州木棺衙济州岛民俗自然史博物馆龙头岩等。​​
1758,日出餐厅,济州特别自治道西归浦市城山邑城山里 298-21,#海鲜涮锅子#带鱼涮锅子#回#韩食,064-782-3380,,星期日,https://api.visitjeju.net/photomng/imgpath/201804/30/d3fb9372-91d7-49f3-b907-60c9e3369514.jpg,,,前面是一边看着牛岛一边吃着圣山日出峰的餐厅位于远离大海的牛岛旁边是圣山日出峰距离济州偶来1路线很近。主要菜单是海鲜煎锅里面有鲍鱼蛤개章鱼等多种海鲜不用调味料做味而是用海鲜做味汤汁浓。刀鱼的涮锅里放了满满的刀鱼配上辣乎乎的调料调味。此外点生鱼片的话米饭和炸紫菜等基本菜肴也是多种多样的。生鱼片小贝和鲍鱼等都是使用新鲜的海鲜制作而成。​​​​​​​​​​​​​​​​​​​​​​​​
1759,海盗俱乐部,济州特别自治道济州市牛岛面延坪里1200-1,#톳拌饭#蛤仔刀切面#烤肉盖饭,064-782-5508,,,https://api.visitjeju.net/photomng/imgpath/201804/30/85137ce8-b105-4ed0-be82-876fc15f32ed.jpg,,,以在牛岛以个性吸引视线的咖啡屋和招待所蓝色大海为背景全部装扮成黑色的样子就像是电影《加勒比海盗》中的海盗。一直向前延伸的海边是加勒比岛屿하고수동美丽。톳拌饭烤肉盖饭蛤仔刀切面是推荐菜单还被作为外景拍摄场所而被熟知。乌岛海盗饭店的面食必须达到2人份以上才能订购。
1760,阳光充足石墙房,济州特别自治道济州市朝天邑咸德里 2936-1,#黑猪#包饭套餐#姜大酱#韩食,064-784-2200,,,https://api.visitjeju.net/photomng/imgpath/201804/30/fc3b48bd-1802-496d-9c28-a5a45128195c.jpg,,,位于朝天邑咸德里村的当地食品店90%以上的客人都是济州岛居民。 阳光满满石墙店的一层是餐厅传统茶楼的二楼是招待所。 屋里飘着清爽的木香外面是宽敞的前院。代表菜单和人气菜单是烤黑猪调料的蔬菜包饭套餐。 不仅是黑海鸥连清净的大酱汤姜大酱烤青花鱼等包饭团一起吃的话会更好吃因为在这里摆了一桌子。这家餐厅的营业时间相对较晚适合吃晚饭的客人。​​
1761,幸福美加,济州特别自治道济州市旧南洞5路12中央女子高中正门前强壮医院后(二道二洞),#黑米参鸡汤#鲍鱼鸭오리#米加参鸡汤#韩食,064-726-3356,,周日/夏季(678月)休息日变动访问电话咨询,https://api.visitjeju.net/photomng/imgpath/201804/30/8f3b0d0b-f15a-4984-b0d8-0c70fee3b54c.jpg,,,因为内部氛围干净所以食物也是以干净清淡著称的地方。
1762,很幸福,济州特别自治道西归浦市幕东山路5-4,# ButterSpagetty#짜#Fusion饮食,070-8877-0755,,周一至周五只在午休时间开放/周末休息/临时休息日提前在网站公告,https://api.visitjeju.net/photomng/imgpath/201804/30/298f9dc8-3a26-46e5-b5bc-cbded4f93df9.jpg,,,尚浩之所以是幸福的婆媳是因为两口子运营的这个地方的儿子的名字叫希哲。 饭店的日程根据儿子的日程而变更可见夫妇对儿子的喜爱程度。 菜虽然不特别但也能感受到诚意。 幸福的婆家的特别之处就是把咸菜吃完后剩下的汤里都放上黄油。 饭后提供茶和葡萄。因为是小规模餐厅为了方便服务不接待超过一桌的团体客人。​​
1763,赫洛乌多,济州特别自治道济州市牛岛面莲坪里2572,#咖啡#甜点#咖啡,064-782-8488,,,https://api.visitjeju.net/photomng/imgpath/201804/30/bf3cc618-9744-4ea0-9b80-30b630923c85.gif,,,
1764,红墩罐烧煤,济州特别自治道西归浦市大静邑日果里1927-3,#黑猪#烤烟煤#根肉,(+82)-794-0494,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/6f8ada0c-1ef9-489c-b0e4-9fd1096ad26a.jpg,,,用煤火烤制蘸着扁担吃的黑猪红洞煤罐烧是卖肉的黑猪肉专门店。虽然在济州大静邑有总店但在翰林金宁南原等地也有可以根据旅行日程选择方便的地方。以厚实的肉受热均匀不易烧焦的煤火烤制为特征在烤肉之前将扁担放在煤饼上煮沸消除腥味。在卖场一角可以直接舀着吃可以按照自己的意愿吃。​​​​
1765,黄土瓦房,济州特别自治道西归浦市上예洞 197-1,#手刀切面#葱饼#土豆心,(+82)-739-0575,,全年无休,https://api.visitjeju.net/photomng/imgpath/201804/30/cbc36e21-58b3-41e1-b998-cc13754e59c8.jpg,,,可以品尝到土豆瓮心的刀切面集黄土瓦房宽敞干净的内部和中央的莲花池让人大饱眼福。一边是经过熟成的面团一边是亲手制作刀削面的样子。海鲜蘑菇葱饼由丰富的蘑菇和虾组成酱油香味扑面而来具有独特的魅力。翁心孙刀切面的特点是在肉汤中使用贝壳和虾泥使海鲜味加倍后放入翁心和面而翁心特有的筋道和香喷喷的香味是这里的特色。在这里可以品尝多种食物欣赏温馨风景的温暖的刀切面专卖店。​​​​​​​​
