指数,名,地址,#标签,电话号码,网站,小时/休息日,图片,入场费,停车设施,介绍
1181,主产区[周王山国立公园](山),庆尚北道青松郡府东面舟山支街163,#秋季旅行推荐天地#10月推荐旅行地#适合拍照的地方#电影拍摄地#适合登山的地方#孩子体验学习#秋季旅行#治愈旅行#有解说的旅行#世界地质公园#,054-870-5300 (注王山国立公园事务所) 054) 873-0101 (青松郡观光指南),http://juwang.knps.or.kr,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150925/AFEC8A3A444C436E80798690283BD417.jpg,,,主产区周边可储存大量雨水的地质结构非常发达自主产区建成以来这里就从未出现地面水源十分丰富。 以电影《春夏秋冬》和春季拍摄地著称清晨水雾交融的王后是全国摄影爱好者数一数二的拍摄场所。
1182,佛影寺溪谷(山),庆尚北道蔚珍郡蔚珍邑佛英溪谷路2758,#蔚珍旅行#夏季避暑胜地#大韩民国名胜#夏季旅行#适合登山的地方#不领事#韩国人一定要去的地方100选#金刚松树林,054-789-6901 (蔚珍郡厅文化观光科),http://www.uljin.go.kr/tour/index.uljin,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/D5D07F48CA5E455D99509A19A2C816F9.jpg,,,被指定为冥胜6号的佛映寺溪谷长达15公里是漫长而庄严的溪谷。  以前因为交通不便几乎没有人来此但1985年随着沿着佛影寺溪谷行驶的36号国道被铺设这里成了夏季避暑胜地。
1183,环湖公园(旅游景点),庆尚北道浦项市北区环湖东山56-1,# 浦项旅行#孩子值得去的地方#孩子值得去的地方#适合散步的地方#适合走路的地方#花花公子斑斓#感性充电,054) 270-5565,http://phtour.pohang.go.kr/phtour,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150901/43FE7234503A4380A44A5835E2F33175.jpg,,,在北部海水浴场最尽头的海岸村雪头后山市民们可以享受的休息空间是地区最初的大规模欢呼迎日公园海岸峭壁和树木在这里加上现代美的和谐的广阔空间一天到晚都有。 以�t望台为中心露天演出场山行等上坡下坡得天独厚的地形被布置得井井有条从�t望台俯瞰的全景非常梦幻。 清晨渗透到迎日湾的日出让人感觉是眺望最佳的隔季吸引市民和游客出游守护健康的最佳景点。
1184,狼山一院(文化遗产),庆尚北道庆州市普门洞214-2,#庆州旅行# 以自然为伴,054) 779-6102`5 (庆州市厅文化财科) 054) 772-3843 (庆州站旅游咨询处),http://guide.gyeongju.go.kr/deploy/index.html,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150730/7D56719E489544958E51B6F3DA9BF775.jpg,,,庆州郎山南北长平如蚕茧两侧各成峰。 山腰陡峭高1·8米形成不太高的柔和山脊。
1185,内需全日出展望台(海洋),庆尚北道郁陵郡郁陵邑苎洞四街457,#郁陵岛日出#郁陵岛登山#郁陵岛家族#郁陵岛值得一看的地方#郁陵岛景点#郁陵岛旅游#郁陵岛旅游#日出站,054) 790-6393 (郁陵文化观光系),http://www.ulleung.go.kr/tour/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20161114/0632B3FEDFD44C8ABD71FFB5917D3A52.jpg,,,内需是一场比赛在韩国展望台升起太阳巨蟹的独岛之后先在郁陵岛新年1月1日日出先想来的游客早很多。 另外登上内需展日出�t望台后四面豁然开朗在凉爽的空气中可以欣赏到凉爽的全景是游客喜爱的景点。
1186,琵瑟山(山),庆尚北道清道郡角北面,# 琵瑟山登山路线# 琵瑟山Hub村# 清道酵素热敷,054-370-6374,http://www.cheongdo.go.kr/open.content/tour/?hl=ko,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151012/16C2CB35E52147419271CE3C6D2849C5.png,,,位于青岛角北面和达城郡嘉昌玉浦县风的边界上的琵瑟山古时也被称为浦山。比瑟山位于达城玄风方向从青岛方向攀登的登山路也不亚于达城方向多种多样山势也非常美丽。
1187,圣住一个村庄(体验),庆尚北道星州郡月恒面大山里,# 常州旅行#适合散步的地方#2天1夜拍摄地,054-933-0021,http://korean.visitkorea.or.kr/kor/bz15/where/where_tour.jsp?cid=127717,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150924/19A2D320EDF1423583693514DC466804.jpg,,,城山李氏集城村的韩盖村是500多年前始祖15岁曾任晋州牧师的义乌定居后形成的村庄其名称韩盖村意为韩盖村。
1188,金庾信将军墓(文化遗产),庆尚北道庆州市忠孝二街44-7(忠孝洞),#庆州旅行#适合散步的地方#适合吹风的地方#花公子摇曳#春风吹拂#樱花名所#和哥哥#10月免费入场,054) 750-8614,http://guide.gyeongju.go.kr/deploy/index.html,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150730/C385EDEB5C0A405EA6E70A0678859462.jpg,,,越过庆州高速汽车站旁边的西川桥右侧有通往金庾信将军墓的道路。 这条路是为金庾信墓特别开辟的兴武路一到春天路边黄连翘和樱花盛开作为兜风路线人气很高。 庙座是松花山茎向东延伸前景极佳的郁郁葱葱的松树林中有着与任何一座王陵媲美的华丽景色。
1189,江南숯牛排(韩式肉类),庆尚北道庆州市黄梧洞 300-2,#庆州旅行#庆州美食店#庆州站周边美食店#庆州站周边,054-774-4000,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/B5EBBB12290C41658BC58C2C065EA1A4.jpg,,,60席
1190,甘山寺址三层石塔 (文化遗产),庆尚北道庆州市前灯街117-20,#庆州文化遗产#庆尚北道文化遗产资料#了解统一新罗时代,054) 779-6102~5 (庆州市厅文化财科) 054) 772-3843 (庆州站旅游咨询处),http://guide.gyeongju.go.kr/deploy/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150729/5EC40850DA7643BEB6B8D5345605A514.jpg,,,1965年重建了在甘山寺旧址上残存的塔楼。在2层基坛上3层塔身的统一新罗时代的一般石塔样式和现在塔身的23层基石已经消失。 上下层基坛的四棱和塔身的基石上刻有柱子形状 房顶石子底部有4段垫子从四角向上翘起。 顶端只剩下了支撑头饰的方形垫子。虽然很遗憾塔的一部分丢失看不到原来的样子但是这部作品很好地展现了统一新罗时代的一般石塔样式。
1191,庆州百里润乙曲摩崖佛坐像 (文化遗产),庆尚北道庆州市杯洞山72-1,#庆州文化遗产#庆尚北道有形文化遗产#了解统一新罗时代#庆尚北道南山周边,054) 779-6102~5 (庆州市厅文化财科) 054) 772-3843 (庆州站旅游咨询处),http://guide.gyeongju.go.kr/deploy/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150730/5AD25A7E5D704646AB53925B5BB27725.jpg,,,巨石高3米宽6米左右该岩石巧妙地形成ᄀ形峭壁宽面朝南2.5米窄面朝西9厘米。 宽面刻有2体如来坐佛窄面刻有1体如来坐佛。
1192,陈楠梅云汤(普通韩餐),庆尚北道闻庆市麻城面津南一街210,#闻庆旅行#闻庆美食店,054-552-7777,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151105/7711D64C051A4DA2920E64DEE9BADC79.jpg,,,260席
1193,惯性松田海滩(海洋),庆尚北道庆州市阳南面阳南路,#庆州旅行#紫葛海边#沙场#以自然为伴#治愈旅行,054) 779-6324 (庆州市厅海洋水产科) 054) 772-3843 (庆州站旅游咨询处),http://guide.gyeongju.go.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150729/10EFEF4BBD754457B9BCF17182372C93.jpg,,,冠城松田海边(旧冠城海水浴场)是清澈绿色的纯净海域早已得到认可松林和海岸相映成趣呈半圆形。 附近的阳南面新大里有一个豆笼高尔夫球场可以和海洋休闲一起享受闲暇时光。
1194,月城龙明里寺址三层石塔(文物),庆尚北道庆州市乾川邑龙明里856-7,#庆州文化遗产#了解新罗时代#宝物,054)0779-6102~5 (庆州市政府文化财科) 054) 772-3843 (庆州站旅游咨询处),http://guide.gyeongju.go.kr/deploy/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150730/F2C954F5425D45379724335AE1C49D78.jpg,,,龙明里寺庙周围散落着很多民宅因此找不到寺庙的规模和痕迹过去塔的名字叫明长里三层石塔从这一点来看也没能确定是龙明里寺址塔。
1195,gagapa餐厅(普通韩餐),庆尚北道闻庆市闻庆邑新才路916-1(闻庆邑),#闻庆旅行#闻庆美食店#闻庆鸟岭周边#闻庆鸟岭周边美食店#适合登山的地方,054-571-7889,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/5D1328CDA3BA410A88DBED9E7392DA4C.jpg,,,
1196,瞻星台(文化遗产),庆尚北道庆州市瞻星路一六九-5(仁旺洞),#庆州旅游#闪闪发光#星星闪烁的夜晚#徒步旅行#散步的好去处#骑自行车的好去处#哥哥和#联合国教科文组织世界文化遗产#国宝#新罗时代,054) 779-6102~5 (庆州市厅文化财科) 054) 772-3843 (庆州站旅游咨询处),http://guide.gyeongju.go.kr,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151010/DCD6257F3286453F9455D1F5CC6B0701.jpg,,,瞻星台建于新罗善德女王时期按照天文观测它是东方历史最悠久唯一的石雕建筑。  规模为高9.17米上身长3.1米边长5.35米。
1197,汉城饭店(普通韩餐),庆尚北道金泉市代项面黄鹤洞街35-7(大项面),#金泉旅行#金泉美食店#直枝寺周边#直枝寺周边美食店#家庭旅行,054-436-6179,http://hansungsikdang.modoo.at,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150903/D7EED6C022794FEC91F3E09BD8E6962D.jpg,,,约180席 (1楼80席2楼100席)
1198,明洞刀切面(普通韩餐),庆尚北道庆州市龙潭路46-4(皇城洞),#庆州旅行#庆州美食店#面条护路录,054-773-7068,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/8185BB59F8084AC4BFA88865D2797643.jpg,,,约五十席
1199,统一展(文化遗产),庆尚北道庆州市七佛岩路6(南山洞),#庆州旅行#大韩民国万岁#散步的好去处#庆州南山周边#东南山#秋天旅行#短风名所#值得和孩子们一起去的地方#徒步旅行,054) 748-1850,http://guide.gyeongju.go.kr/deploy/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150730/DE7DA35D7AD8442281362D462DD34527.jpg,,,统一殿是继承三国统一精神祈愿南北统一的国民殿堂。 寺内供奉着太宗武烈王文武大王金庾信将军的遗像展示着统一激战的记录画正沿着长长的回廊展示。
1200,仙岩寺(浦项)(寺庙),庆尚北道浦项市南区东海海面里73比6政党,# 浦项旅行#用虔诚的心,054-292-5540,http://www.seonamsa.net/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150831/F907C6EA352B4566ABBBB1BD11470E84.jpg,,,庆尚北道浦项市南区东海的面大乘佛教的寺庙。관음종 仙岩寺就像被隐藏在月峰山脚一样即使只向外走一步也看不到内部。 规模较小的伽蓝沿着自然溪谷向西-东侧布置了殿阁为了有效利用地形供奉佛祖的殿阁设在北侧的巨石上。
1201,田村松田海边(大海),庆尚北道庆州市甘浦邑路2002-3동해안,#庆州旅行#温泉旅行#徒步旅行#美食旅行# 以自然为伴,054) 779-6324 (庆州市쳥海洋水产科) 054) 772-3843 (庆州站观光咨询处),http://guide.gyeongju.go.kr/deploy/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150729/AB6F2D27B62549C889161AEAB33B2A6C.jpg,,,纯净的海洋休闲和交接的森林的松林附近全村港和许多甘浦餐馆以及韩国的活鱼5分钟利用东海的海水温泉的海水浴池等避暑的条件具备而且市中心很容易去避暑胜地能到达的大众交通的使用都很方便看点它的食物能在一起的地方。  * 白沙滩 - 长0.8km宽30~60m
1202,酒王山明日餐厅(普通韩餐),庆北青松郡府东面公园路218,# 青松旅行#青松美食店#用左手拌饭#用左手拌饭#棉花糖葫芦,054-873-2904,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151012/6CF196BD467449AD8D22BC6EEECE62AA.png,,,
1203,安东大坝(江),庆尚北道安东市卧龙面中佳邱里,#安东旅行#适合散步的地方#适合吹风的地方#家庭旅行#前景好的地方,http://www.tourandong.com/public/,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/33C97838F1AD4D4B91279864F1AD092D.jpg,,,位于洛东江上游的临哈达木积坝于1993年完工为洛东江流域及附近地区供应497万立方米各种用水通过调节洪水量减轻灾害每年可生产96.7万千瓦时的电力。
1204,耐燃酸(酸),庆尚北道浦项市北区松罗面甫庆路516,##"浦项的旅游登山的好地方与大自然为伍。##秋游东海海岸旅行##枫叶#地质公园的内延山12瀑布年产瀑布##宝镜寺,054) 262-1117,http://www.koreasanha.net/san/naeyeon.htm,,http://tour.gb.go.kr/upload2/tour/content/thumb/20161008/18C90C6B08044C2EBD380CAB206398BA.jpg,,,内延山有奇岩绝壁之间被称为庆北8景之一的12个瀑布。 内延山的瀑布主要由节肢结构在水中切割而成。 岩石有了节理这个缝隙就比其他地方更容易削。 这样被削掉的石块一下子掉下来就会形成一道绝壁形成瀑布。 形成内燃山的岩石是由炽热的火山灰凝固而成的凝灰岩。 凝灰岩上镶嵌着石雕这种石雕的大小在内燃砂的入口越往上越往上越往上越小。
1205,本新溪谷(山),庆尚北道英阳郡首比面本新里,#营养旅行#白岩温泉周边#国立剑马山自然休养林周边#适合拍照的地方,文化旅游科 054-680-6410,http://tour.yyg.go.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/65D61F9B3AB14B2C99C2B98DF261D250.jpg,,,本新溪谷位于水河溪谷蔚连山剑马山旁位于通往蔚珍郡温井面白岩温泉的路口溪谷长6公里。 本神溪谷令人联想起一幅流经郁郁葱葱的森林四周的山水画。
1206,浮石寺综合店食堂(普通韩餐),庆尚北道荣州市浮石面浮石寺路二九八号街103(浮石面),#永州旅行#永州美食店#浮石寺周边#浮石寺周边美食店,054-633-3606,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/BCAFFD9F7FCE4A63B6F2129310B7C657.jpg,,,450席
1207,三陵溪谷线如来坐像 (文化遗产),庆尚北道庆州市杯洞山72-6,,054) 779-6102~5 (庆州市厅文化财科) 054) 772-3843 (庆州站旅游咨询处),http://guide.gyeongju.go.kr/deploy/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150730/8250886F0438473F8414EF5F68332807.jpg,,,如果从4个寺址一直往上走1米左右就会发现高和宽均为1米的悬崖岩壁。 岩壁中央刻有坐在直径2.5米的大莲花上标有说法的如来像。 身上都是先觉只表现为脸上的刻度。
1208,西岳洞三层石塔(文化遗产),庆尚北道庆州市西岳洞 705-1,#庆州文物#文物#了解统一新罗时代#徒步旅行#武烈王陵周边,054) 779-6102~5 (庆州市厅文化财科) 054) 772-3843 (庆州站旅游咨询处),http://guide.gyeongju.go.kr/deploy/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150730/DA399B6A335142DCA9305719BF28488F.jpg,,,庆州西岳洞庆州西岳洞三层石塔是从新罗武烈王陵所在地登上阿弥陀三尊佛像的仙桃山。 属于统一新罗时代的模砖塔系列的石塔地面东西铺有4张厚厚的大石作为地对石上面用8块石块砌成2段立邦体
1209,善良的章鱼(庆州店)(普通韩餐),庆尚北道庆州市杨亭路51(黄梧洞),#庆州美食店#庆州旅行,054-776-0700,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150731/70C700E810594A7F8D506AE063FCAE1A.jpg,,,约300个座位 (室内和室外用餐空间)
1210,古灵古雅里壁画古墓(文物),庆尚北道高灵郡大伽倻邑壁画街120-16,#高龄旅行#了解伽倻时代#事迹,054) 955-4790 (高龄军观光咨询所) 054) 950-6655 (观光振兴科),http://tour.goryeong.go.kr/kor/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150902/870FC5EE1D914E6B8B1D232CC3B71384.jpg,,,* 伽倻时代的壁画古衙洞壁画古墓* 6世纪初大伽倻时代建造的伽倻地区唯一的壁画古墓。 1963年被发现当时被盗南北长20米东西长25米。 大小为3.1米。 它有着现实和沿途的横穴式石室结构现实东西呈隧道形沿途位于现实南墙东侧。
1211,火车路旁的窝棚生活(一般韩餐),庆尚北道金泉市黄岳路1626-30 (大项面),#金泉旅行#金泉美食店#汤,054-436-3399,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151013/BB9130476780470D9764B760908DD68F.png,,,80席
1212,浮石事务量水电前石灯(文物),庆尚北道荣州市浮石面浮石寺路345,#永州旅行#浮石寺周边#国宝#统一新罗时代知道,054) 633-3258,http://www.pusoksa.org/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151005/BD4DBA8E2879473DAE000078E53460A8.jpg,,,位于荣州市浮石面北智里浮石寺无量寿殿前的统一新罗时代石灯现被指定为国宝17号。 高2.97米是新罗时代典型的八角石灯无论是上下比例的巧妙还是雕刻的精致都是新罗时代石灯中首屈一指的杰作。在用4章拼成的四方形地覆石上放了四角形地对石。
1213,觉化寺(寺庙),庆尚北道奉化郡春阳面角花山街251,#奉化旅行#怀着虔诚的心,054-672-6120,http://wwww.bonghwa..go.kr/open.content/tour/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151006/44C911253BD247A6AAC235F4E3AC2FC2.jpg,,,庆尚北道奉化郡春阳面石岘里559处中的宗派:曹溪宗昌建延大:新罗文武王16年(676)等摇滚号:加-125号等摇滚年月日:1988
1214,苏达萨(古米)(寺庙),庆尚北道龟尾市舞乙面水多寺街183(舞乙面),# 龟尾旅行#怀着虔诚的心# 将自然作为伴儿,054-481-9338,http://www.gumi.go.kr/main.do,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150902/E49629290ECB4EED9EC938CCCD602C05.jpg,,,苏达寺是位于庆尚北道龟尾市舞乙面上松里12号燕岳山的大韩佛教曹溪宗第8教区总公司的御史。 苏达寺是统一新罗时代重修河东双溪寺的晋监局寺慧昭大师创建的寺庙和道里寺一样也是祖坟地区历史最悠久的寺庙之一。
1215,三松人饺子(普通韩餐),庆尚北道永川市交仓街10(仓内洞),#永川旅行#永川美食店#饺子美食店,054-333-8806,http://www.삼송꾼만두.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150903/4CD0D62C32244380A51A1C51CEB3904A.jpg,,,
1216,龙沼瀑布(龙추瀑布)(山),庆尚北道金泉市甑山面水岛里,#金泉旅行#夏日旅行#以自然为伴#夏日避暑地#凉爽的夏天,054-420-6715,http://www.gc.go.kr/culture/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150929/63DD95C3FEA44A2A854DCF53287C098D.png,,,怀揣龙沼瀑布的龙沼沟是一条长达20里的深山幽谷盛夏也与天然冰箱无异足以消暑。 溪谷下游的卧龙岩是无屹9曲中的第8曲龙卧龙卧的宽岩非常绝妙。
1217,贝尼基亚酒店浦项(酒店),庆尚北道浦项市南区中央路128,#浦港高速巴士终点站周边#浦港高速巴士终点站周边住宿#松岛海水浴场周边住宿#松岛海水浴场周边住宿#友情旅行#两个人出来旅行#浦港住宿,054-282-2700,http://www.benikeapohang.com/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150831/4DE1E815284F4245AC1581AA310C8778.jpg,,,贝尼基亚酒店浦项拥有稳定的设施和尖端设施。 所有客房都具备最尖端的淋浴室空调功能和有线无线宽带网络有线无线LCD电视电话等功能而且还可以享受咖啡和传统茶。 为方便活动不便的人还准备了可以乘坐轮椅的客房。
1218,临河寺(浦项)(寺庙),庆尚北道浦项市北区兴海邑大路-4(興海邑)1548동해,# 浦项旅行#用虔诚的心,054-261-0331,http://phtour.pohang.go.kr/phtour,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150901/D8EBD5F5DAF6414387124E7762020450.jpg,,,临和寺是为防止倭寇入侵而建造的但具体创建年代不得而知应该是1910年代现在的寺庙。 临河寺是一座比较短促的寺庙该寺内有近期重建的大雄宝殿和山岭阁辽寺。
1219,全民爱王陵(文化遗产),庆尚北道庆州市望城二街133-34,#庆州文物#史迹#了解统一新罗时代,054) 779-6102~5 (庆州市厅文化财科) 054) 772-3843 (庆州站旅游咨询处),http://guide.gyeongju.go.kr/deploy/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150730/45CC9CF0D81A461AA0BC8B4FD09CA213.jpg,,,这是新罗第44代民爱王(838 839)的坟墓高3.8米直径12.5米。  虽然多次被盗但1984年9月国立庆州博物馆对坟墓和周边进行了挖掘调查查明了其规模并整顿成了现在的模样。
1220,九黄里三层石塔(庆州九黄里三层石塔 ),庆尚北道庆州市九黄洞,#庆州文化遗产#国宝#统一新罗时代,054) 779-6102~5 (庆州市厅文化财科) 054) 772-3843 (庆州站旅游咨询处),http://guide.gyeongju.go.kr/deploy/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150729/496B07EAAEDE44C09E8CF56F4430ABEA.jpg,,,新罗神门王死后其子孝昭王为祈求父亲冥福而建造的塔也被称为皇福寺之石塔。在2层基坛上竖立3层塔身是感恩寺址3层石塔(国宝第112号)或高仙寺址3层石塔(国宝第38号)。
1221,CW餐厅,庆尚北道庆山市江边东路290,#庆山旅行#庆山美食店#和哥哥一起#奶酪咯吱咯吱,053-812-6543,http://www.cwspace.com/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151008/BE9740BA3BAD4E54944197DE2C00D868.png,,,150席
1222,安东烧酒·传统饮食博物馆(文化设施),庆尚北道安东市江南路71-1(水上洞280),#安东旅行#美食旅行#苦辛杂#安东烧酒,054-858-4541,http://www.andongsoju.net/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/45DD9BBB028B4D19BEB0BFC82FF3D517.jpg,,,安东烧酒(庆尚北道无形文化遗产第12号·传统食品名人20号)是酒精度数为45度的纯谷蒸馏酒起源于新罗时代。 安东人享受了1200年的安东烧酒出名可以追溯到1986年亚运会和1988年汉城奥运会。 亚运会和奥运会前后政府积极致力于挖掘民俗酒。
1223,龟尾子(文化设施),庆尚北道龟尾市山东面尖端企业一路49,# 龟尾旅行#MICE,054-477-8000,http://www.gumico.com/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150831/667AEFF373EA418AB546E05C1AD0B34B.jpg,,,2004年欧美纪念出口200万美元作为系统宣传我国数字电子产业发展支持国内外营销的设施2010年10月8日欧美数字电子产业馆奠基。 通过提出欧美电子信息产业发展宣传规划及各种国内外会议展示活动为振兴IT产业和振兴区域经济做出贡献。
1224,闻庆市农特产品销售场(闻庆新材市场),庆尚北道闻庆市新才路九零六,#闻庆旅行#闻庆鸟岭周边#今天是我的,0540 571-9600,http://www.saejaemall.com/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/D446A58B3E084A6E8BAF70823FE0E211.jpg,,,位于闻庆鸟岭入口的闻庆市农特产品销售场由闻庆市和闻庆观光振兴公团运营。 提起闻庆除了想起的苹果五味子外还展示销售闻庆生产的多种特产。
1225,月城南舍利寺址三层石塔(文物),庆尚北道庆州市见谷面南寺里 234-2,#庆州文化遗产#宝物#了解统一新罗时代,054) 779-6102~5 (庆州市厅文化财科) 054) 772-3843 (庆州站旅游咨询处),http://guide.gyeongju.go.kr/deploy/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150730/3A1C163FA93B4FBBBF15B0B97F640CB6.jpg,,,这是一座名不见经传的旧寺址上遗留下来的塔在2级基坛上3层的塔身。 1975年维修当时只是重新补充了楼上基坛的北中间石大部分完好无损。
1226,月城藏港理寺址西五层石塔(文物),庆尚北道庆州市阳北面獐项里 1083,#庆州文化遗产#国宝#统一新罗时代,054) 779-6102~5 (庆州市厅文化财科) 054) 772-3843 (庆州站旅游咨询处),http://guide.gyeongju.go.kr/deploy/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150730/A8E011644C3C43C0A3F15DCF9A22B2A5.jpg,,,长项里寺址是位于吐含山东边的一个山脊尽头的山脚因无法准确知道寺庙的名字故取名长项里故称长项里寺址。
1227,光明室(文化遗产),庆尚北道安东市陶山面土溪里680,#安东旅行#了解朝鲜时代,054-840-6599,http://www.tourandong.com/public/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151005/4C8D84EAFEA247148E65A6559E8FC11E.jpg,,,
1228,黄南面包(甜点),庆尚北道庆州市太宗路783(黄梧洞),,054-749-7000,http://www.hwangnam.co.kr,,http://tour.gb.go.kr/upload2/tour/content/thumb/20160204/446B0876C98B49529A1B6BD40CE3DA15.jpg,,,
1229,玉分辣白菜鱼汤(普通韩餐),庆尚北道浦项市北区兴海邑大街4号路1574동해,#浦项美食店#兴海市场,054-262-9905,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151105/AE57D372876545B0A52ADE2BCE87DAC5.jpg,,,
1230,水獭来餐厅(一般韩餐),庆北青松郡府东面公园路202,#青松旅行#青松美食店#适合登山的地方#周王山国立公园周边美食店#周王山国立公园周边# 左手握上拌饭的双手拌饭#团体观光,054-873-3052,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151003/25C833435DED4CD982207B73D81A7A6C.jpg,,,座位:500个
1231,邮政花园(一般韩餐),庆尚北道闻庆市闻庆邑温泉三街1(闻庆邑),#闻庆美食店#闻庆旅游#闻庆汽车站周边#闻庆汽车站周边美食店,054-571-9996,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/46B6B3704EC942E58512668C8826ED19.jpg,,,88席 (22个桌)
1232,首都产食堂(普通韩餐),庆尚北道金泉市甑山面柳城里,#金泉旅行#金泉美食店#烤肉来了,054-437-0009,,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151004/56BD80911AF54D05A167A31A150983CC.jpg,,,五十席
1233,郁陵艺林院(树木园),庆尚北道郁陵郡北面玄浦里317-4,#郁陵岛旅行#有解说的旅行#天然纪念物#风景好的地方#治愈旅行#花花公子斑斑点点#把自然当作伴儿#散步的好地方,郁陵艺林院 054-791-9922,http://www.울릉예림원.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150903/8BA8B4D5161E415FAD754BEF5518C9DB.jpg,,,艺林园是一座植物公园树木和特产植物与更广阔的大海融为一体游人可以一目了然地欣赏。 将文字刻印在树丛中雕琢而成展现造型美和生命力的文字雕塑公园一起建成。  每年10月是郁陵国画(第52号天然纪念物)和海国的庆典期间。
1234,龙华寺(尚州)(寺庙),庆尚北道尚州市咸昌邑曾村里258号,# 常州旅行#怀着虔诚的心,054-541-3551,http://www.sangju.go.kr/tour/index.jsp,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150904/83E529AEBDE04C49B2582862698D7AE7.jpg,,,龙华寺是位于咸昌邑曾村里的寺庙&古宅。 关于龙华寺的创建谁是何时初创目前尚不清楚。 只是传说这里本来是新罗文武王时期首次创立的尚安寺遗志。 朝鲜后期编纂的《咸昌邑志》中称该寺为司仓后悬塔洞有新罗古刹大寺石雕弥勒像第2位。
1235,姑母山城(文化遗产),庆尚北道闻庆市麻城面新岘里,#闻庆IC#闻庆旅游#闻庆街值得一看的地方#闻庆街区#闻庆旅游地推荐#闻庆街区推荐#闻庆街区推荐,054) 550-6414 (旅游咨询中心),http://www.mgtpcr.or.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20161028/B5BF3A1871074482A30DC7887CD59626.jpg,,,三国时代起前海魂千年要塞姑山城岭南大路古道
1236,青岛龙岩温泉(休养地),庆尚北道清道郡华阳邑温泉路23,#青岛旅行#温泉旅行#2天1夜旅行#家庭旅行,054-371-5500,http://www.yongamspa.co.kr/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20151012/30156637FD7844119A22D70483949128.png,,,据悉清道龙岩温泉是从地下850米深处涌出的优质锗硫磺温泉对关节炎哮喘胃肠病贫血神经痛具有卓越的功效因此在大邱庆北地区有很多温泉游客。
1237,高龄主产省(文化遗产),庆尚北道高灵郡高灵邑中化里山三里,#高龄旅行#事迹#了解三国时代,054) 955-4790 (高龄军观光咨询所) 054) 950-6655 (观光振兴科),http://tour.goryeong.go.kr/kor/,,http://tour.gb.go.kr/upload2/tour/content/thumb/20150902/159DC17854AA4A739E1289CEDDFCE58F.jpg,,,* 是位于大伽倻时代的山城高灵主山城 *高灵西侧的亦山(主山311米)的城是伽倻时代的山城。 从顶端下到6分山脊在山脊上。 外加双层筑造的泰默式建筑整座城堡全长1351米保留了部分用土石坚固石筑的城墙。
