여행지이름,주소,태그,전화번호,홈페이지,영업일,OVERVIEW
472. 청주갤러리관광호텔,충청북도 청주시 흥덕구 직지대로 607,#숙박#청주숙소,043-267-1121~5,<br /><a href="http://www.newgalleryhotel.com/" target="_blank" title="새창 : 청주갤러리관광호텔 홈페이지로 이동">http://www.newgalleryhotel.com/</a>,,청주에 위치한 청주갤러리관광호텔은 오창 과학단지  청주 제1~3산업공단  오송 생명과학단지 등 중부 내륙 주변 산업단지와 인접해 있어 중부권을 대표하는  비즈니스호텔이다. 또한 청주공항과  경부 및 중부고속도로  고속버스 터미널  시외버스 터미널 그리고 청주역 등 최적의 교통 인프라를 잇는 중심의 입지 여건을 갖추고 있다. 커피숍  소회의실  초고속 인터넷과 출력을 겸할 수 있는 공영 비즈니스센터를 갖추고 있으며 서비스로 고객에게 휴식과 비즈니스 업무를 이끌어 드리고 있다. 스탠더드 더블룸은 차별화된 서비스를 원하시는 고객을 위한 공간이다. 편안한 휴식공간과 더불어 비즈니스를 위한 실용 공간으로 설비를 두루 갖추고 있다. 럭셔리 더블룸은 명품의 화려  심플  모던을 기본 콘셉트로 각 객실마다 편안한 분위기를 최대한 살려  안락하게 지낼 수 있는 휴식 공간이다. 디럭스 트윈룸은 세상에 가장 편안한 당신만의 공간에 취향을 만족시켜주는 비즈니스 휴식공간이다. 온돌룸은 한국식 온돌 형식으로 모던한 감각을 살린 인테리어와 안락한 공간 속 휴식을 위한 모든 편리함이 갖추어진 현대식 기능 설비가 되어있다. 갤러리 스위트는 별도로 분리된 응접 공간이 마련되어 있어 최고급 호텔의 스위트 객실을 연상시킨다. 현대식 기능의 설비와 고급스러운 인테리어는 당신을 잠시 시대의 왕이 되어 천하를 다 가진 듯한 상상의 세계로 인도할 것이다. 비즈니스 센터는 호텔 1층에 위치하고 있으며 24시간 무료로 이용이 가능하다. 초고속 인터넷 PC  팩스 등 비즈니스 업무를 간편하고 편리하게 처리할 수 있다. 
473. 호텔르윈,전라북도 전주시 완산구 기린대로 85,#숙박#전주숙소,063-230-4200 & 4201,<br /><a href="http://hotellewin.com/" target="_blank" title="새창 : 호텔르윈 홈페이지로 이동">http://hotellewin.com/</a>,,전통과 문화의 고장에 설립된 호텔르윈은 고전적인 스타일의 한실과 유러피안 스타일의 양실  특급 호텔의 고품격 서비스  정성을 다해 준비하는 요리  세련된 매너와 친절로 고객을 맞이하고 있다. 최첨단 설비와 과학적 시스템으로 운영되는 체련실  남녀 사우나  이용실 및 미용실 등을 구비하고 있으며  격조 높은 직원 서비스로 고객의 건강을 증진시키고 있으며  크고 작은 가족모임부터 국제회의에 이르기까지 품격 있는 비즈니스와 즐거운 연회를 위해 최고의 서비스를 제공하고 있습니다. 특급호텔의 고품격 서비스  정성을 다해 준비하는 요리  합리적인 가격  편리한 교통 및 주차시설 등 완비하고 있다.  특히 주변이 전주한옥마을과 어우러져 있으며  한국인의 실생활 속의 온돌 문화를 체험하실 수 있는 객실로서  한국인은 물론 외국인에게도 많은 사랑을 받고 있다.
474. 제이제이호텔,서울특별시 성동구 자동차시장1길 29,#서울숙소#숙박,02-2245-3355,,,서울시 성동구에 위치한 제이제이 호텔은 장한평역 근처에 위치한 고급스러운 호텔이다. 입구에 들어서면 넓은 로비와 안내데스크가 바로 보이며  로비 한편에는 아침에 간단한 모닝 빵과 커피를 무료로 제공하는 스낵바가 마련되어 있다. 객실은 현대적인 인테리어로 고급스럽게 장식되어 있으며 각 층마다 각각 다른 개성 있는 인테리어가 다양한 분위기를 연출한다. 이벤트룸  파티룸  스위트룸 등에 닌텐도 게임이 가능하어 연인 또는 친구와의 기념일이나 파티 등을 즐기기에 좋다.
475. 프레지던트 호텔,서울특별시 중구 을지로 16,#서울숙소#숙박,02-753-3131,<br /><a href="http://www.hotelpresident.co.kr/" target="_blank" title="새창 : 프레지던트 호텔 홈페이지로 이동">http://www.hotelpresident.co.kr/</a>,,프레지던트 호텔은 서울 중심부인 서울광장앞에 위치하고 있으며 호텔 주변의 고궁  금융  비즈니스  쇼핑거리는 고객의 관광의 편리함과 성공적인 비즈니스를 보장해준다.
476. 영광글로리관광호텔,전라남도 영광군 영광읍 옥당로 74,#숙박#영광숙소,061-351-8700,,,영광글로리관광호텔은 객실수가 총 50실로 고속버스터미널에서 도보로 8분 정도 가까이 위치한 일반호텔로써 가족단위로 조용하고 아늑하여 이용하기 적합하다. 
477. 쉐라톤 서울 디큐브시티 호텔,서울특별시 구로구 경인로 662,#서울숙소#숙박,02-2211-2000,<br /><a href="http://www.sheratonseouldcubecity.co.kr/" target="_blank" title="새창 : 쉐라톤 서울 디큐브시티 호텔 홈페이지로 이동">http://www.sheratonseouldcubecity.co.kr/</a>,,세계적인 호텔 경영 전문 회사인 스타우드(Starwood)가 직접 경영을 맡아 운영하는 쉐라톤 서울 디큐브시티 호텔은 한국에 세 번째로 오픈한 쉐라톤 호텔이다. 269개의 객실과 12개의 시설을 갖추었다. 또한 호텔과 바로 연결된 디큐브 백화점  디큐브 아트센터  디큐브 파크가 있어 주거  쇼핑  문화  레저를 한자리에서 즐기는 새로운 라이프를 제시한다. 국내 호텔 중 가장 높은 곳인 41층에 로비와 레스토랑  바가 위치해 있어 서울의  경치를 한눈에 바라볼 수 있다. 또한  호텔 전 객실에서 환상적인 경관을 감상할 수 있어 특별한 분위기를 느낄 수 있다. 쉐라톤 서울 디큐브시티 호텔은 지하철 1호선  2호선 신도림역 1번 출구로 바로 연결되어 있으며  공항 리무진버스 6018번이 호텔 입구에 정차하여 편리하게 호텔을 이용할 수 있다.
478. 평택호 그랜드호텔,경기도 평택시 현덕면 평택호길 39-15,#숙박#평택숙소,031-683-8899,<a href="http://hotelgrandkorea.com/" target="_blank" title="새창 : 평택호 그랜드호텔 홈페이지로 이동">http://hotelgrandkorea.com/</a>,,서울에서 불과 1시간 거리에 위치하고 있으며  대한민국 유일하게 호수와 바다를 한눈에 아우르고 일출과 일몰을 한 곳에서 조망할 수 있는 곳이다. 평택호 그랜드호텔은 천혜의 자연경관을 벗 삼아 평택호에 아름답게 자리 잡고 있다. 휴양지  가족 나들이  워크숍  단체 세미나 등에 최고의 장소이며 최상의 서비스로 고객을 모시고 있다. 
479. 노보텔 앰배서더 부산,부산광역시 해운대구 해운대해변로 292,#숙박#해운대숙소,051-743-1234,<br><a href="http://www.novotelbusan.com" target="_blank" title="노보텔 앰배서더 부산으로 이동">http://www.novotelbusan.com</a>,,부산노보텔앰배서더호텔은 2008년 7월에 새롭게 오픈한 아코르(Accor)체인의  인터네셔널 호텔이다. 아코르사는 세계 137개국에서 4천여 개의 호텔을 경영하는 세계적인 그룹이며 노보텔은 아코르의 시작이 되었던 오랜 역사와 뛰어난 서비스를 자랑하는 호텔이다.  바다의 낭만과 함께하는 부산노보텔앰배서더호텔은 비즈니스와 리조트 시설을 고루 갖추고 있는 국제적 수준의 특급호텔이다. 부산의 관광지 해운대 해변 중앙에 위치한 호텔로 최고의 바다전광과 뛰어난 접근성으로 비즈니스 고객과 휴양객 모두에게 만족과 즐거움을 선사해주는 곳이다.  해변과 맞닿아 있어 바다의 싱그러움을 더욱 가까이서 느낄 수 있는 총 326개의 객실과 2층(15  16층)에 해당하는 이그제큐티브 플로어와 이그제큐티브 라운지  그리고 최고급 레스토랑과 바에서는 수준급의 음식과 서비스가 제공된다.  또한 탁 트인 바다전경을 바라보며 운동과 휴식을 즐길 수 있는 부산 최고의 피트니스센터와 온천사우나 시설  종합스포츠센터(골프  스크린골프  스쿼시  요가 등)와 7개의 연회장이 최상의 만족을 제공해준다.  천연 식염천이 나오는 온천사우나는 머무는 동안 손님들의 피로를 깨끗이 풀어주며  다양한 레스토랑에서는 세계 각국의 요리를 맛볼 수 있다.
480. 오크우드 프리미어 인천,인천광역시 연수구 컨벤시아대로 165,#숙박#인천숙소,032-726-2000,<br /><a href="http://www.oakwoodpremier.co.kr/" target="_blank" title="새창 : 오크우드 프리미어 인천 홈페이지로 이동">http://www.oakwoodpremier.co.kr</a>,, 오크우드 프리미어 인천은 동북아시아의 떠오르는 경제허브인 인천자유경제구역 송도 국제업무단지의 중심부에 위치해 있다.  인천국제공항에서 20여분 거리의 편안한 위치에 자리잡은 오크우드 프리미어 인천은 송도 국제도시의 랜드마크이자 국내 최고층 빌딩인 동북아 무역타워(NEATT)의 상층부에 위치해 최고의 전망을 자랑하며 비지니스를 위한 송도 컨벤시아  국제업무지구  바이오 연구단지는 물론 롯데몰  잭 니클라우스 골프클럽  인천 아트센터  센트럴파크  해돋이 공원 등과 같은 문화시설과 인접해 더욱 편리하다.   오크우드 프리미어 인천은 스튜디오  1~4베드룸과 펜트하우스까지 총 423개의 스위트급 객실로 이루어져 있으며 특급 호텔식 서비스를 주방 및 다양한 시설이 구비된 아파트먼트에 접목시켜 최고의 구성을 갖추고 있다. 모던한 분위기의 여유로운 공간과 유명 디자이너의 가구배치로 편안한 주거와 사무업무가 동시에 가능하며 초고속 인터넷 서비스를 기본으로 제공하고  최고급 대형 LED TV  홈시어터와 오디오 시스템을 구비하고 있으며 여유로운 주방공간과 차별화된 고급 조리기구 및 식기류  최신 대형 냉장고  식기 세척기  전자레인지  최신식 드럼형 세탁기와 건조기  다리미 등이 모든 객실에 완비되어 있다. 또한  레스토랑  비즈니스 센터  미팅룸  피트니스 센터  어린이 놀이방 등의 부대시설은 물론  일일 객실 정비 서비스  24시간 운영 프론트  룸서비스 등의 서비스를 함께 제공하고 있다.
481. 호텔일루아,부산광역시 해운대구 달맞이길 97,#숙박#해운대숙소,051-744-1331,<a href="http://www.hotelillua.com/" target="_blank" title="새창 : 호텔일루아 홈페이지로 이동">http://www.hotelillua.com/</a>,,해운대 해변에서 그리 멀지 않은 곳에 위치한 호텔일루아는 대한팔경의 하나인 해운대 달맞이 길 언덕에 자리 잡고 있으며  넓게 펼쳐진 해운대 바닷가를 비롯한 오륙도  동백섬  이기대  광안대교를 한눈에 내려다볼 수 있는 해운대 최고의 전망을 자랑한다.  호텔일루아는 2009년 5월에 전 객실을 리노베이션하여 깨끗하고 깔끔한 모습으로 탈바꿈하였다. 객실은 보다 현대적인 감각으로 안락하게 꾸며져 있으며 다양한 콘셉트로 고객 취향에 한 걸음 더 다가가고자 노력했다.  1층 테라코에서는 라이브 음악과 함께하는 바닷가재요리를 비롯하여 다양한 메뉴와 세계 각국의 주류를 즐길 수 있으며 2층 연회장은 회갑연  돌잔치  결혼식  세미나 및 각종 행사를 치르기에 적합하다.  호텔 옆으로는 달빛을 받으며 산책할 수 있는 문탠로드 산책길이 나 있으며  아담한 나무로 둘러싸인 객실 테라스에서는 느지막한 오후 햇살을 맞으며 일광욕을 즐길 수 있다. 바다를 바라보며 하루의 피로를 풀 수 있는 스파시설  감각적인 디자인과 따뜻함이 공존하는 젠스타일의 인테리어  고객을 감동시키는 서비스는 해운대의 장관과 함께 고객에게 새로운 경험과 잊지 못할 감동을 선사한다.
482. 딜라이트 호텔 (HOTEL DELIGHT),서울특별시 송파구 오금로11길 21-9,#서울숙소#숙박,02-414-1263,,, 딜라이트 호텔은 잠실역 2호선 10번 출구에서 도보로 7분  몽촌토성역 8호선 3번 출구에서 도보로 7분 거리에 위치해 있다.  주변 관광지로는 롯데월드와 롯데월드타워  석촌호수가 차로 5분 이내의 거리에 있다.  올림픽주경기장까지는 차로 약 10분  삼성역 코엑스(COEX)까지는 차로 약 20분이 소요된다. 또한 방이동 상업지구에 위치해 있어 각종 근린시설 및 레스토랑이 인접해 있다.   호텔 인근지역에서 찾아오실 경우 무료 픽업 및 샌딩 서비스를 이용할 수 있다(수서역 SRT  아산병원  삼성의료원 픽업샌딩가능하다.)  호텔 이용고객에게는 무료 주차타워 이용 서비스와 세탁 서비스가 제공된다.   객실은 총 71개이며  이코노미 룸  스탠다드 룸  디럭스 룸  프리미엄 룸  듀플렉스 룸 등으로 다양하게 구성되어 있다. 모든 객실에는 TV와 에어컨  냉장고  노트북  어댑터를 비롯해 가운  슬리퍼  전기포트  샴푸  린스  바디워시  칫솔  면도기 등 각종 비품이 구비되어 있다. 무료 와이파이와 세탁 서비스도 전 객실에 제공된다. 프런트에서는 추가 침구  랜선  와인글라스  와인오프너  우산 등을 대여 가능하다.   호텔 로비에 위치한 카페 볼잔(Bolzan)에서는 고급 원두로 로스팅 된 커피와 매일 다른 메뉴로 구성되는 조식이 유료로 제공된다. 5세 이하의 어린이는 조식을 무료로 즐길 수 있다.  
483. 춘천세종호텔,강원도 춘천시 봉의산길 31,#숙박#춘천숙소,033-252-1191~5,<a href="http://www.chunchonsejong.co.kr/" target="_blank" title="춘천세종호텔로 이동">http://www.chunchonsejong.co.kr/</a>,,춘천시 봉의동에 위치한 춘천세종관광호텔은 1등급의 호텔로 지하 1층  지상 3층의 별관 2개동을 갖춘 숙박 시설이다. 춘천역에서 차로 5분  춘천버스터미널에서 8분 정도의 거리에 위치하고 있다.  안락하고 편안한 객실 63실을 보유하고 있으며 부대시설로 한식당 및 양식당  커피숍 등이 마련되어 있다.  춘천세종관광호텔이 자랑하는 한·양식당 ‘오크룸’은 엄선된 식자재로 특급 주방장이 다양한 메뉴를 선보인다. 격조 높은 실내 분위기와 친절하고 세련된 서비스로 고객 여러분께 최대의 만족을 선사한다. 소규모 회의를 비롯해 각종 세미나  심포지움  대규모 행사에 이르기까지 모임의 성격과 특징에 따라 언제나 편리하게 이용할 수 있는 연회시설도 마련되어 있다. 각 연회장에는 음향  조명 및 영사시설 등 최첨단의 장비가 갖추어져 있어 고객의 중요한 행사를 성공으로 이끌어준다. 춘천 중심가의 봉의산에 자리한 춘천세종관광호텔은 정원이 잘 가꾸어진 내 집 같은 안락함이 있는 호텔이다. 조용하고 아늑한 분위기가 흐르는 정원이 아름다운 춘천세종관광호텔에서 휴양지의 편안함을 느껴보길 바란다.
484. 베스트웨스턴 포항호텔,경상북도 포항시 북구 삼호로265번길 1,#숙박#포항숙소,054-230-7000,<br /><a href="http://www.hotelpohang.co.kr/" target="_blank" title="새창 : 베스트웨스턴 포항호텔 홈페이지로 이동">http://www.hotelpohang.co.kr/</a>,,세계 최대의 다국적 체인인 베스트웨스 호텔로 포항의 중심지인 영일대 해수욕장에 위치해 있으며 160개 전 객실이 바다를 한눈에 내려다볼 수 있다. 전통 재래시장인 죽도시장 등 지역 내의 주요 관광지에도 인접해있다. 2015년 4월 동해선 KTX의 개통으로 서울-포항 간 시간이 2시간 15분으로 단축되었다.
485. 엘린 호텔,제주특별자치도 제주시 은남1길 4,#숙박#제주숙소,064-743-5600,,,공항과 5분 거리에 위치하고 있는 호텔 엘린은 시내 중심가에 위치하고 있어 교통이 편리하고 관광지  관공서  쇼핑  문화 등 주변 시설을 이용하시기에 편리한 곳이다.아늑하고 내 집처럼 편안한 분위기  청결한 객실  고객의 품격에 맞는 서비스로 한사람 한 사람에게 행복하고 편안한 휴식처를 제공한다.
486. 베스트웨스턴 프리미어 인천 에어포트 호텔,인천광역시 중구 공항로424번길 48-27,#숙박#인천숙소,032-743-1000,<br /><a href="http://www.airporthotel.co.kr/kr/index.php" target="_blank" title="새창 : 베스트웨스턴 프리미어 인천 에어포트 호텔 홈페이지로 이동">http://www.airporthotel.co.kr/kr/index.php</a>,,‘베스트웨스턴 인터내셔널’은 미국 아리조나주 피닉스에 본사를 두고 있으며  전 세계 80여 개국에 4 000여 개가 넘는 다양한 호텔을 소유한 56년 역사의 세계 최대 호텔 체인이다.  베스트웨스턴인천에어포트호텔은 동북아 허브 공항인 인천 국제공항과 직선거리로 700m 밖에 위치해 자동차로 5분 내에 연결되는 특급호텔이다. 2004년 5월 14일에 정식으로 개관했으며 306개 객실과 멀티 레스토랑  로비 라운지 등을 갖춘 특급 비즈니스호텔이다. 지하 1층  지상 10층의 규모로 공항 및 바다가 보이는 전망 엘리베이터와 건물 꼭대기에 비행기 모양의 지붕을 얹은 것이 특징이다. 호텔 1층에 위치한 파티오는 커피와 전통차가 있는 세련되고 아늑한 로비라운지와 국내 최고의 주방장이 제공하는 세계적인 품격의 양식 및 한식 바  베이커리를 갖춘 멀티레스토랑이다.   베스트웨스턴인천에어포트호텔은 대연회장(그랜드볼룸  다이아몬드룸)과 2층의 다양한 소연회장을 갖추고 있다. 최소 20명에서 최대 400명까지 수용 가능한 연회장은 각종 세미나  기업 행사 등을 위해 첨단 설비를 갖추고 있다. 비즈니스센터는 모든 편리함이 갖추어진 최신 설비와 고객의 취향을 만족시켜주는 최상의 서비스를 통해 가장 편안하고 안락하게 지내실 수 있도록 모든 편의를 제공하고 있다. 피트니스센터는 고객 여러분을 위한 공간으로 다양한 체육 시설이 있으며 소형 골프 연습장이 마련되어 있다. 베스트웨스턴인천에어포트호텔은 고객 한 분 한 분의 만족을 위해 신속하고 정성 어린 서비스를 제공하기 위해 최선을 다하고 있다.
487. 메트로호텔,서울특별시 중구 명동9가길 14,#서울숙소#숙박,02-752-1112,<br /><a href="http://www.metrohotel.co.kr" target="_blank" title="새창 : 메트로호텔 홈페이지로 이동">http://www.metrohotel.co.kr</a>,,아늑한 객실과 스타일리쉬한 디자인을 갖춘 메트로호텔은 서울에서도 명동 중심에 위치하여 고객 접근성을 극대화 하였으며  서울의 유명 관광지들이 호텔로부터 수분 거리에 위치하고 있다. 메트로호텔은 교통부 등록 1호인 대한민국 최초의 관광호텔로써 1960년 개관이래 고객만족을 위하여 노력해오고 있다.
488. 호텔 삼정,서울특별시 강남구 봉은사로 150,#서울숙소#숙박,02-557-1221,<a href="http://www.samjunghotel.co.kr/" target="_blank" title="새창 : 호텔 삼정 홈페이지로 이동">http://www.samjunghotel.co.kr/</a>,,서울 강남의 중앙에 위치한 호텔삼정은 역사와 전통을 자랑하는 명문호텔로서 자리매김해 왔다. 호텔삼정은 무엇보다도 빌딩식 비즈니스호텔의 답답함에 지친 고객을 위해 여유로운 공간과 정원  파크가 있는 고객의 쉼터로 편안함과 여유로움  한국적 정을 느낄 수 있는 호텔을 추구하고자 했다. 160실의 객실은 고급스러운 실내장식과 여유로운 공간구성을 통해 고객이 최대한 여유롭고 편안히 쉴 수 있는 공간을 마련했다. 층별로 다른 콘셉트의 객실들은  새로운 느낌으로 고객에게 다가간다. 약 3천여 평의 넓은 대지 위에 지상 12층  지하 2층으로 구성된 본관 건물과 지상 2층의 신관 건물은 절묘한 조화를 이루고 있으며  대형 연회/웨딩홀 3개  식음료 업장 5개가 마련되어 있고 여타 부대시설로는 사우나  관광극장  식당  웨딩갤러리 빌딩이 있다. 
489. 가락관광호텔,서울특별시 송파구 송파대로28길 5,#서울숙소#숙박,02-400-6641~3,<br /><a href="http://www.hotelkarak.com" target="_blank" title="새창 : 가락관광호텔 홈페이지로 이동">http://www.hotelkarak.com</a>,,가락 관광호텔은 동양 최대의 가락동농수산물시장과 인접해 있고 주변에 잠실 롯데월드  올림픽공원  삼성의료원  현대아산병원  가든파이브  코엑스  도심 공항 터미널  잠실경기장 등이 근거리에 위치하여 비즈니스 스포츠 문화 건강의 중심에 있다. 
490. 베니키아 전주한성 호텔,전라북도 전주시 완산구 전주객사5길 43-3,#숙박#전주숙소,063-288-0014,<br/><a href="http://www.benikea.com/hotel/infoHotel.do?hotelNo=1066" target="_blank" title="베니키아 전주한성 호텔로 이동">http://www.benikea.com/hotel/infoHotel.do?hotelNo=1066</a>,,베니키아 한성호텔은 전주시의 중심에 위치하여 편리한 교통과 함께 전주의 문화를 즐길 수 있는 곳이다. 전주한옥마을  전주시내 객사와 걷고 싶은 거리  영화의 거리 등 관광명소와 인접하며  시내중심가의 쇼핑과 거리에 즐비한 전주 전통 맛집들을 즐기실 수 있다. 한지와 황토 벽지로 꾸며진 40개의 객실을 갖추었으며 복도와 세미나실  레스토랑에는 도자기와 금속공예를 비롯한 전주지역 서양화가  한지 및 섬유공예가  사진작가 등 20여명의 작품 100여점이 전시되어 있는 문화공간이 있다.
491. 베니키아 중문호텔,제주특별자치도 서귀포시 천제연로 166,#서귀포숙소#숙박,064-802-8888~9,<br/><a href="http://www.benikeajungmum.com" target="_blank" title="베니키아 중문 호텔로 이동">http://www.benikeajungmum.com</a>,,2015년 7월에 그랜드 오픈한 신축/신규 호텔로  최상의 객실 컨디션을 자랑합니다. 전객실 패밀리 트윈 타입 객실  기준인원 3인으로 합리적인 금액대의 호텔숙소를 원하시는 가족여행객에게 적합하며  제주국제컨벤션센터와 차량 5분 거리에 위치해있어  학회 및 비즈니스 방문 차 제주를 찾으시는 고객들에게 쾌적한 숙소로서 좋은 인지도를 쌓아가고 있습니다.
492. 풀만 앰배서더(창원),경상남도 창원시 의창구 원이대로 332,#숙박#창원숙소,055-600-0700,<a href="https://pullman.ambatel.com/" target="_blank" title="새창 : 풀만앰배서더 창원 홈페이지로 이동">https://pullman.ambatel.com/</a>,,창원의 풀만 앰배서더는 특1급 최고의 서비스로 고객을 모시고 있다. 경남 교통의 중심인 창원은 김해 국제공항과 40분 거리에 위치하며 KTX 창원역과 거가대교 개통으로인해 교통이 편리하다. 경남의 랜드마크인 The City7과 창원 컨벤션 센터와 나란히 인접하고 있어 다양한 대규모 국제적인 회의를 유치한다. 편안하고 안락한 321개의 객실이있다.
493. 베니키아호텔 제주크리스탈,제주특별자치도 서귀포시 중정로 16,#서귀포숙소#숙박,064-732-8311 & 064-763-0512,<br><a href="http://www.jejucrystal.com" target="_blank" title="베니카아호텔제주크리스탈로 이동">http://www.jejucrystal.com</a>,,천지연폭포 인근에 위치하고 있는 베니키아 호텔 제주크리스탈은 2008년 리모델링을 통하여 깨끗한 시설과 안락한 분위기를 갖춘 중저가호텔로 새롭게 오픈하였다. 야간에도 천지연 폭포와 새섬 및 서귀포 항을  산책할 수 있으며 근처에서 제주의 이색 민속문화가 살아 숨쉬는 오일장(4 9일)과 색다른 먹거리를 즐길 수 있고  이중섭 거리에서 미술문화를 감상할 수 있다. 또한 힘차게 솟아 떨어지는 폭포속의 짙은 안개와 무지개  아름다운 태평양의 먼 바다풍경을 바라보며 산책(올레6.7코스-제주 최고의 비경)을 할 수 있다.
494. 베니키아 프리미어 해운대 호텔,부산광역시 해운대구 해운대해변로 317,#숙박#해운대숙소,베니키아 프리미어 해운대 호텔 (Tel.051-760-7000) /예약실 051-760-7022,<br/><a href="http://www.benikea.com/hotel/infoHotel.do?hotelNo=1135" target="_blank" title="베니키아 프리미어 해운대 호텔로 이동">http://www.benikea.com/hotel/infoHotel.do?hotelNo=1135</a>,,베니키아 프리미어 호텔 해운대는 2015년 11월에 오픈한 3성급 호텔로서 쾌적한 객실과 더불어 온천욕도 동시에 즐기실 수 있는 비지니스호텔이다. 해운대해변에서 도보 5분 거리에 위치해 있으며 부산을 대표하는 관광명소인 달맞이길  해운대시장  해동용궁사  광안리 해변/다이아몬드 브릿지 등을 방문하기에도 접근성이 좋다.
495. 베니키아 센트럴 호텔,경상남도 통영시 광도면 춘원2로 49-20,#숙박#통영숙소,055-643-7001~2,<br/><a href="http://www.benikea.com/hotel/infoHotel.do?hotelNo=1129" target="_blank" title="베니키아 센트럴 호텔로 이동">http://www.benikea.com/hotel/infoHotel.do?hotelNo=1129</a>,,통영시 광도면 황리 성동조선앞에 위치한 2015년 04월 신축 오픈한 호텔이다. 연회장  커피숍  바베큐장의 부대시설을 보유하고 있으며  아메리칸식 조식 서비스를 제공한다. 프론트로 문의할 경우 픽업 서비스가 가능하다.
496. 베니키아 엔쵸비 호텔,경상남도 통영시 동호로 56,#숙박#통영숙소,055-642-6000,<br/><a href="http://www.benikea.com/hotel/infoHotel.do?hotelNo=1081" target="_blank" title="베니키아 엔쵸비 호텔로 이동">http://www.benikea.com/hotel/infoHotel.do?hotelNo=1081</a>,,베니키아 통영엔쵸비 관광호텔은 2011년 08월 26일 오픈한 통영 유일의 관광호텔이다. 동호항 둔덕 뱃머리 앞과 남망산공원 옆에 위치하여 공원과 바다가 잘 어우러져 있다. 동호항  남망산공원  동피랑 마을  옻칠 박물관  이순신 장군공원  강구안  문화마당  중앙 수산 시장  여객선 터미널 등이 바로 인접하여 관광지들을 도보로 관람할 수 있다는 장점을 가지고 있다.  2012년 고성공룡세계엑스포 공식 지정 숙박 호텔로 선정되었던 통영 대표의 관광호텔이다.  
497. 설악산 탐방안내소,강원도 속초시 설악산로 833,#가족여행#가족체험여행#강원권#관광지#문화시설#설악산탐방안내소#전시관#체험학습,설악산 탐방안내소 033-636-7700,설악산 국립공원 <a href="http://seorak.knps.or.kr" target="_blank" title="새창 설악산국립공원 홈페이지로 이동">http://seorak.knps.or.kr</a>,매주 월요일,설악산국립공원 설악동 초입에 위치한 설악산탐방안내소는 1 600m²의 면적  이동동선 180m의 규모로 설악산 지형 및 지질  테마별 전시실 등 다양한 주제로 이루어져있다. 각 코너는 설악산의 동식물을 비롯하여 설악산 생태계 전반을 다루고 있고 다양한 체험활동을 통해 설악산의 자연과 더 가까워 질 수 있는 풍성하고 다양한 볼거리 및 체험을 제공하고 있다.
498. 화담숲,경기도 광주시 도척면 도척윗로 278,#2019년4월_Tmap추천_여행예보#가족여행#관광지#서울근교여행#수도권#수목원#숲체험원#연인과함께#이색체험#자연#자연&숲치유#자연좋은곳#화담숲#힐링&휴양여행,<strong>화담숲 이용 문의</strong> 031–8026–6666 (09:00 ~ 17:00),화담숲 <a title="새창 : 화담숲 홈페이지로 이동" href="http://www.hwadamsup.com" target="_blank">http://www.hwadamsup.com</a>,겨울 휴장, 화담숲은 서울에서 40분 거리  경기도 광주에 위치한 생태수목원이다.  LG상록재단이 우리 숲의 생태계를 복원하는데 중점을 두고 1 355 371㎡ (약 41만평) 대지에 4천 3백여종의 국내외 자생 및 도입식물을 17개의 테마원으로 조성했다. 화담숲의 화담(和談)은 ‘정답게 이야기를 나누다’는 의미로  화담숲은 인간과 자연이 교감할 수 있는 생태 공간을 지향한다. 우리 숲의 식생을 최대한 보존하였고  자연을 사랑하는 누구나 편히 찾을 수 있도록 친환경적인 생태공간으로 꾸몄다.  또한 자연의 지형과 식생을 최대한 보존하여 조성된 덕분에  노고봉의 계곡과 능선을 따라 자연스럽게 자리잡은 수목들의 다양한 모습을 볼 수 있다. 평소에 산책을 하고 싶어도 몸이 불편해 트레킹할 수 없는 장애인이나 노약자  어린이 등을 위해 유모차나 휠체어를 타고 편안히 자연을 감상하여 힐링할 수 있도록 5km의 숲속 산책길 전구간을 경사가 완만한 데크길로 조성하여 가족단위 관람객에게 큰 인기를 끌고 있다.  주요 테마원으로는 국내 최대 규모의 ‘이끼원’을 비롯해 1 000여 그루의 하얀 자작나무가 펼쳐진 ‘자작나무숲/소망돌탑’  명품분재 250점을 전시하고 있는 ‘분재원’ 등이 있으며 국내 최다 품종인 480여 종의 단풍나무를 비롯해 우리 숲에서 만나볼 수 있는 아름다운 꽃과 나무를 만나볼 수 있다.   또한 화담숲은 생물종 복원사업의 일환으로 국립공원 관리공단과 함께 국내에 자생하는 멸종 위기종인 반딧불이  원앙이 등의 생태복원을 위한 서식환경을 연구 조성하고 있다. 이러한 생태복원 노력 덕분에 화담숲 곳곳에서는 우리에게 친근한 도룡뇽  고슴도치  다람쥐 등을 쉽게 마주칠 수 있다. 그 밖에 민물고기 생태관과 곤충체험관 등을 운영하고 있다. 
499. 서귀포문화원,제주특별자치도 서귀포시 동홍로 31-7,#관광지#문화시설#문화원#사계절#서귀포문화원#실내여행지#아이와함께#제주권#지역문화#체험학습,서귀포문화원 064-733-3789,서귀포문화원 <a href="http://www.seogwipo.org/" target="_blank" title="새창 : 서귀포문화원 홈페이지로 이동">http://www.seogwipo.org</a>,토요일, 일요일, 공휴일,서귀포문화원은 역사 유적의 연구 조사활동  유/무형 문화재를 발굴 보존 전승하는 일과 각종 문화예술 활동 등 지역문화의 창달을 위한 운영을 하고 있다.
